0_cluster,1_cluster,2_cluster
2.1929831811733156E8,7.240350463798887E8,1.047259780905361E8
7.273741903531224E8,3.0485877668409574E8,1.5826469351180688E7
4.487442397531711E8,5.899426727149541E8,9370157.069874931
1.7137144935446826E8,8.488641191293266E8,2.7683181324262396E7
2.5213332926185346E8,2.7664975273379076E8,5.1913698890875596E8
3.4851923307646805E8,4.0125477109869033E8,2.9814434271696335E8
3.034410919688343E8,5.083104659465065E8,2.3624727280559665E8
2.5340835857593977E8,7.227167052747285E8,7.18745711136147E7
2.64090709838127E8,3.639481326172621E8,4.199575423713894E8
5.541293374096854E8,3.6904987890091693E8,1.2486411703382432E8
1.595756943391961E8,2.740669489018965E8,6.144023603311112E8
4.3351546357381374E8,2.3676654330261767E8,3.7776263242556393E8
5572923.600968803,9105882.003025725,411805.76508987875
8352806.656551288,6737806.0602732925,1.3679949918752603E-4
2311262.0718926867,1.2766341648078684E7,12974.757988910424
3509787.461237972,1.1578225206415614E7,566.2618692852948
5789035.668702993,6976179.143596062,2323383.1452918355
7620459.030943022,5385791.719569841,2082322.34600098
4192160.474363221,9570803.646187004,1326772.0914577309
2407579.7593012964,1.2682168143515268E7,0.03195597263646528
4571617.922941337,9888525.247806286,629557.769217977
864775.7037722052,1.4225604260334628E7,0.0010768738392192981
5446117.445447734,599923.9241812037,9044362.46844752
7839482.61288918,5875651.845128964,1375264.2870556065
1.8437626432761975E7,5.337531771758121E7,5386412.257267716
5.0840717908457264E7,2.635855609225991E7,89.2766569204242
2.4748285725088544E7,5.241645843395518E7,34444.003965471944
1.9289471234627783E7,5.762942091565767E7,270066.88887111377
3.029719146248544E7,3.0459004788403273E7,1.6432860112607634E7
3.816584103959071E7,3.2424630273782507E7,6598457.880567936
1.6607149623746734E7,4.88691557911319E7,1.1718574059331402E7
5558580.650632829,7.163316803203443E7,3190.566750107995
1.9673629342144992E7,4.227749149044159E7,1.5243578047656408E7
6341932.252790659,7.085541883632351E7,820.9832054730183
1.609176000147944E7,1.0851022652950248E7,5.0255512224379025E7
4.564047000087969E7,2.517220420625307E7,6385594.218640202
4.2058722525036454E7,2.6562156029581338E8,3.0831021963641185E7
2.3852792687218726E8,9.971256207401864E7,270845.9583930405
1.1067851754685801E8,2.2777751081322566E8,54538.69206558496
8.467218204565613E7,2.5058484108079314E8,3208690.2860199455
1.1536527115587045E8,1.0155047918215044E8,1.2155038983082414E8
1.6143353484838623E8,1.5397220447997802E8,2.3059843214281447E7
7.681039274817209E7,2.2714295883231908E8,3.45383223336183E7
3.8587707940825835E7,2.9714618240216595E8,2758045.6573275663
6.652943625859307E7,1.5808523301197264E8,1.1387621274183533E8
9.282065649003336E7,2.4240971254141477E8,3275742.507893864
5.302958897693913E7,7.158490201035497E7,2.1389215912170848E8
1.8364796815818062E8,8.988052446563916E7,6.4978041446303375E7
9.42613095618999E7,6.320924911881145E8,8.553608817916395E7
5.805451316644052E8,2.2692418846087402E8,4420640.62330907
2.9574933321298254E8,5.139023126185073E8,2236474.908124532
1.6735422575282353E8,6.284069348951879E8,1.601940888808411E7
2.345624412344231E8,2.251138581708465E8,3.521052948336667E8
3.304454785109766E8,3.4332127894011265E8,1.3801349715688577E8
2.1664589519020396E8,4.7760489093513685E8,1.1759203285678466E8
1.5810804612162402E8,6.243249956030848E8,2.941040555824556E7
1.7366572397688472E8,3.268340269538712E8,3.1134117026975906E8
3.88182489967257E8,3.5020672141754556E8,7.348822697052582E7
9.558920635713434E7,2.0956669441671634E8,5.067228288645396E8
3.820963620000777E8,1.920889907978121E8,2.3769309792828602E8
3.36310928710413E8,1.2132361900707061E9,1.791337138294464E8
1.2117030030757976E9,4.8872784519911647E8,2.824997100998048E7
7.470531341156398E8,9.614256672777904E8,2.0198738122111853E7
2.5222819392466295E8,1.4250450685707216E9,5.118562935484353E7
4.049667298443248E8,4.4895575347704905E8,8.745390504198517E8
5.583568849287516E8,6.52863303062109E8,5.17237619133571E8
5.1987382841335875E8,8.135208876822946E8,3.9519099729417115E8
4.264688489635199E8,1.1712970230104496E9,1.308210657133084E8
4.412634597895396E8,5.843685131919171E8,7.029503018896451E8
9.537835725902028E8,5.464061768403461E8,2.2846653143963557E8
2.4470821126771766E8,4.742031379676727E8,1.0097475098349245E9
6.907141044267707E8,3.8859521127771217E8,6.49348712612412E8
