0_cluster,1_cluster,2_cluster
3.8229142189999115E8,5.621079954316685E8,1.0365992525609052E8
2.975683580787796E8,7.364277375118594E8,1.4063340797760732E7
7.602377666006999E8,2.7082588679257065E8,1.6993416144730374E7
8.524841897302446E8,1.7109147129088095E8,2.434308878693262E7
3.390797094804419E8,5.840046464591619E8,1.2483571496479672E8
3.941872881685694E8,3.6746399325478595E8,2.862670654687641E8
5.13930879690091E8,3.489891493120837E8,1.8507880171876827E8
7.023088637678517E8,3.0919597732206917E8,3.649479387436574E7
3.207773193573992E8,3.388752105826619E8,3.8834385488671863E8
4.261351970333306E8,5.520053923827578E8,6.99027439283293E7
5.742448700334525E8,2.1270940771089864E8,2.6109072582785568E8
3.960443709326874E8,3.362399685322365E8,3.15760299837072E8
2218904.340903008,1.2459901260109924E7,411805.7680713966
5532725.072792208,9557887.643942874,2.2626210604100583E-4
1.2641251242789378E7,2449327.2351705763,3.763542170707326E-7
1.1577893764242165E7,3510685.152003669,0.013276959656029496
5082594.165917504,1.0005628645294806E7,375.1463784729313
4764867.38766128,8439787.885225412,1883917.8236272077
1.0297084999881057E7,3109682.2864016574,1682968.9257257318
1.094148974996249E7,4148258.171895109,0.01291513453580376
1.2158480943050608E7,2303887.472272143,627332.524642923
1.4730209017418772E7,360170.94756174437,2.0324613939649367E-4
1503474.247355491,1.1584993125737663E7,2001936.4649836135
7141268.970292634,7946788.345090754,2341.429690761996
1.991373573924854E7,5.189878664707665E7,5386834.021260882
2.504490729854857E7,5.215432828107534E7,127.69774677860788
6.324806921766429E7,1.3951113493042279E7,5.452306051147891
5.742876191795421E7,1.9758452935493805E7,1744.1857046475907
2.9788351704663478E7,4.681980043965676E7,580904.2191747256
3.119051849981579E7,3.812010820489661E7,7878302.48922679
5.108819447641854E7,1.5840737130937077E7,1.026594786685267E7
6.735533080806483E7,9838079.868319446,1528.573048688326
5.028275690577683E7,1.2441096032744046E7,1.4470845941732535E7
7.54246113746815E7,1773266.0244692033,294.6731673829556
2.921622689233505E7,3.585856965949738E7,1.212349832696678E7
3.7670548300912894E7,3.807448860520007E7,1453231.5196503936
1.3528863018810582E8,1.7199207826600352E8,3.123059633038304E7
9.769937478407134E7,2.4043665877322742E8,375301.34730062686
2.746452538016227E8,6.377333048029418E7,91982.77023180776
2.5162289126681012E8,8.507710083946434E7,1765721.3061935343
1.142761168921487E8,2.0318988082751292E8,2.1000142449184053E7
1.4960986421033803E8,1.684362337725708E8,2.0419484559735246E7
2.4425924430319992E8,6.4104605196975976E7,3.01278244139331E7
2.889845352463181E8,4.804711891913238E7,1460281.834867746
1.513469385771545E8,8.352583820277986E7,1.0361810523246624E8
2.8639670761620003E8,5.051180030518137E7,1597603.6179582141
1.9039629798383927E8,7.56067059692784E7,7.250364615588193E7
1.6715550924797696E8,1.3171369403192614E8,3.963733079022521E7
3.372003131997292E8,3.8852358696710634E8,8.616598876234038E7
2.2085429465159294E8,5.855633436324925E8,5472322.464503294
6.264852641497948E8,1.7907600890024158E8,6326847.689583296
6.287308386283875E8,1.704936599128859E8,1.255607099482394E7
2.6555435648849815E8,4.838312633219975E8,6.2395974428435795E7
3.326240191658747E8,3.475027958513709E8,1.3165343959073007E8
5.055041420136502E8,2.0839458209927326E8,9.794409486920558E7
6.098093767484651E8,1.8516581138334864E8,1.6868259151149154E7
2.771979472859326E8,2.4815156232014692E8,2.864914115944447E8
4.2362847317803526E8,3.4539248813690066E8,4.285647704038547E7
4.639796009163316E8,1.550769697270579E8,1.928221589950055E8
3.535968358382299E8,2.701268190131695E8,1.8815479587477297E8
6.322929770663645E8,9.202248000446488E8,1.7616305549953613E8
4.771642282210543E8,1.2264189845764763E9,2.5097606487365812E7
1.252791339549054E9,4.405707116892799E8,3.5315488277209714E7
1.4292839425366812E9,2.536343616444385E8,4.554058766911193E7
5.587902148723509E8,9.747727968030994E8,1.9489852206578445E8
6.400530871099526E8,5.915787404655161E8,4.9682597954895943E8
8.16542319847399E8,6.048963668065089E8,3.071470267359209E8
1.1350763711378388E9,5.263882625994314E8,6.712230395000564E7
5.1147560615837544E8,5.652006714493322E8,6.519059972633965E8
6.198660205542775E8,9.783170446687245E8,1.3047321564718999E8
9.599756927211397E8,3.344264914220573E8,4.342566749271263E8
6.405047491201209E8,5.324260671089283E8,5.557272120878456E8
