0_cluster,1_cluster,2_cluster
5.910760575051025E8,1.7394092776336473E8,2.830423573192858E8
2.632373129912621E8,1.3323618491673861E8,6.515859384804006E8
9.872834081000951E7,1.0449216276925E8,8.448365659587402E8
7.833457571512764E8,7.969818722196758E7,1.84874805434806E8
6.496914018356066E8,1.058051271655083E8,2.9242354190327567E8
2.4504114268735492E8,1.9439773076856136E8,6.084794734362109E8
6.020158730665112E8,1.965009765288836E8,2.4948198112554514E8
7.927268992414715E8,6.2123988546624124E7,1.9314874717619067E8
4.180503267288674E8,3.476655758631116E8,2.82280482234796E8
6.777543193510313E8,1.362611783718848E8,2.3402783562150782E8
7.072669727206146E8,2.6008044324887735E8,8.069758760271928E7
4.413220818741385E8,3.1218615895970273E8,2.945363984681606E8
9005262.036970202,4048034.9998464724,2037314.332268076
6163940.151338795,2518706.6390511645,6407965.92657227
1075351.4347509905,932229.3477294061,1.3082997695479535E7
1.0616807005186802E7,1425009.3794258423,3046762.5449103825
7789700.941714935,2316488.557188277,4982408.458688177
4657470.916876629,2487843.1470894534,7943259.032547874
1.0419951780021148E7,2213032.7245955896,2456751.707391442
1.3284201341140863E7,25578.87684709874,1779967.7167844942
1.1862631071109148E7,569504.4735094819,2657565.3953465275
1.5007476074829519E7,9484.401799936446,73419.48855370522
7456053.733426053,3937646.0845247917,3696704.0201246417
1.0954060841585737E7,1985641.2471363433,2150696.6563520897
4.558713766301832E7,1.5922814089592379E7,1.568940465499872E7
2.4297532761692148E7,1.3922225869098565E7,3.8979604646592885E7
4962072.480128034,6261940.076941263,6.597517560592235E7
5.694499873866959E7,4577523.091239171,1.5666437209255079E7
4.8674332189181685E7,5986340.236248212,2.2528383938087963E7
2.419167701783464E7,7592025.589542247,4.540522658656338E7
5.361539651486609E7,1.3039208698351115E7,1.0540274260987908E7
7.27534685416686E7,85218.38688379624,4356252.320858121
4.7312849793753035E7,1.1532431531492487E7,1.8349417554994427E7
7.681706856149502E7,54520.147523045234,326583.36328389484
4.81938606048867E7,1.6475609869814696E7,1.2528824404081328E7
4.929595232634976E7,9417676.641834589,1.848463945759333E7
2.158474060663078E8,5.3286444498816825E7,6.937745421936567E7
8.799049723472518E7,4.806792579820587E7,2.0245291187167394E8
1.8043904512822032E7,2.3725490427578345E7,2.967411721117469E8
2.4950840570251673E8,1.87468539219732E7,7.021045378798036E7
2.0327086574480712E8,1.8117796369957354E7,1.1707747805407941E8
8.675833641463412E7,2.485984588592084E7,2.268474002420876E8
2.5370795351995355E8,3.763771434181204E7,4.714600605234139E7
3.100741585137899E8,6094556.937308513,2.2323220549221925E7
1.5752411118677187E8,9.268844741562445E7,8.827832341000329E7
3.2298085670214593E8,3171450.2967980015,1.2353804540400859E7
2.3171931082706833E8,7.208277461112884E7,3.4704564670799665E7
1.8967717433315128E8,5.52133718947532E7,9.361598784221992E7
5.044891849436586E8,1.263241579684031E8,1.8107654601711383E8
1.9918216830892682E8,9.841809882345313E7,5.142896936162137E8
3.9721670444073774E7,6.690338741730826E7,7.052630628782295E8
6.075930413040892E8,5.81899503873588E7,1.4599757784464562E8
4.978576168496311E8,5.301975859104892E7,2.6090421879822922E8
1.788875536806665E8,9.33302294356242E7,5.395624714916887E8
5.511203696201638E8,1.1117922312559506E8,1.4954322623636326E8
6.727472402731102E8,3.678004224563195E7,1.0231616476421332E8
3.3702440754490983E8,2.6051383027120638E8,2.1430268338440073E8
6.192182149151505E8,5.892754922272724E7,1.337316742174502E8
5.576468506931095E8,1.893815276085543E8,6.485035133673294E7
3.8616841984210205E8,1.9410102997817641E8,2.316090009058911E8
9.699950494402254E8,2.789031303159584E8,4.797826528543829E8
4.193516286979157E8,2.1783656281906745E8,1.0914926277679002E9
1.5669576988621932E8,1.8216749203477705E8,1.389814277594556E9
1.312249688736979E9,1.3280403535887116E8,2.834051677543842E8
1.0853060124359736E9,1.6671404698262912E8,4.764414743226284E8
3.9500042296091866E8,3.2219057620538604E8,1.0112668079581277E9
9.703258189191004E8,3.2869253072080386E8,4.2956736374991536E8
1.2929815459872923E9,1.1052737006648949E8,3.2507802163348573E8
6.816146714821706E8,5.867513047278789E8,4.602162986610679E8
1.060581210563899E9,2.4525596119862807E8,4.228191091076381E8
1.1774620052256768E9,4.291159372232157E8,1.2208091662143007E8
7.05844915794703E8,5.414788555948327E8,4.813342569273704E8
