0_cluster,1_cluster,2_cluster
4.583678787979412E8,3.8567784401713705E8,2.040136197726804E8
5.58907992647732E7,2.969233594564493E8,6.952452776671779E8
3.7658472384165627E8,5.619222387459023E8,1.0955010695043883E8
1.9286192282411933E8,8.03485559172007E8,5.157126781193561E7
4.3544021832537293E8,2.6058502925852787E8,3.5189482332049644E8
2.730365003252468E8,3.9667563031645465E8,3.7820621625041187E8
2.3124021682023993E8,4.731494085319694E8,3.4360920536872727E8
2.472649870313288E8,6.53232560075259E8,1.4750208785769185E8
2.2434793277461872E8,3.0390873758314943E8,5.19739714469011E8
2.620425124480989E8,2.1138111077946004E8,5.746197101168619E8
1.5540122033993456E8,1.5450542500388217E8,7.381383582283908E8
1.8066020007490683E8,1.2403353991261697E8,7.433508993144734E8
3599808.9193417407,7497311.033288002,3993491.416454763
2776273.980869772,6307105.091760088,6007233.644331621
1171470.375884823,1.3280685861601857E7,638422.2404737576
4730333.300944907,1.021074684553488E7,147498.7830432317
5760218.877636516,6136932.750950341,3191446.329004081
4800476.983948372,6852405.445098689,3435690.667467001
3650000.3491920037,9023446.21323369,2416289.6495826473
3850259.0100514153,1.1239488575041607E7,0.3496798748338842
4898685.1031898195,9213869.110035224,977146.7267409926
9865386.08281879,5127703.021043935,97290.86132109031
2245820.1034393883,958.2792233775842,1.2843625455413552E7
5091845.437795198,4266795.599538618,5731757.707739581
3.0201238215897284E7,3.1469725483949594E7,1.552839270776341E7
4996806.44233092,2.517502869060607E7,4.702752814444508E7
2.137762272706087E7,5.2562768520844735E7,3258796.9151069913
2.164652056942361E7,5.463806696546943E7,904371.5042620138
3.75407215831718E7,2.819952477648261E7,1.1448810003843743E7
2.8148722121345624E7,3.663649521816396E7,1.2403711854429236E7
1.5286673683630511E7,4.679509157233842E7,1.5113114218229566E7
9477749.071442848,6.770007222116475E7,17117.95681473006
2.1843465755122483E7,3.85625262349891E7,1.678870689013479E7
3.907884607921639E7,3.738667366852607E7,732652.3245776482
1.340809129177536E7,619996.312783302,6.317020727424264E7
1.3539861031073999E7,1.90797121041165E7,4.457869529058573E7
1.433019637181608E8,1.393431490170565E8,5.586619204927056E7
1.9457960867600746E7,9.683737993091655E7,2.222159941060838E8
1.1195652388485312E8,2.1736108942721677E8,9192953.740078485
8.849057890768084E7,2.4276971224767616E8,7205422.257112969
1.739607889772077E8,9.571036153710648E7,6.87949896545303E7
1.2500383924733126E8,1.6139449199945325E8,5.2067251295860484E7
7.3750483556959E7,2.1707606598304215E8,4.7665124374105856E7
4.7113582201852344E7,2.815541433597878E8,9824210.438680798
7.250310340063623E7,1.3302954978737289E8,1.3295822882439029E8
1.806178832093841E8,1.1744335223496857E8,4.044487609498978E7
6.2231943328483485E7,2.1806606122345734E7,2.54468100658175E8
6.287507689979263E7,4.660415373204847E7,2.2902730343828848E8
3.414664405104636E8,3.311891428130868E8,1.3923430560562629E8
5.0512093750915825E7,2.2257283651964593E8,5.388050304780291E8
2.901303455533688E8,4.860268664949728E8,3.573090869127529E7
1.7667184713183236E8,5.990501417199452E8,3.605858068432288E7
3.969588156202978E8,2.104622027977149E8,2.0436057582092577E8
2.4989140822417244E8,3.456784667619562E8,2.162103796218477E8
1.7995500691822267E8,4.5496732733752114E8,1.7692048472638252E8
1.6985843565053013E8,5.748886219340616E8,6.7096389698370695E7
1.6491571200520778E8,2.741168309003439E8,3.728083782949577E8
2.8733989123305786E8,1.745238447685547E8,3.500137023537179E8
1.2564363518880141E8,1.0946921606927788E8,5.767658783803108E8
1.4037100875421885E8,9.497359718843934E7,5.765338447835118E8
7.555041187709965E8,6.474521570750082E8,3.2572455676455986E8
8.938651793407401E7,4.780961017645899E8,1.1611981995862274E9
6.242208654530156E8,9.141275748633223E8,1.9032909919919878E8
2.853342206265509E8,1.3524728639251518E9,9.065180729852515E7
7.192506449359779E8,4.2288843366943777E8,5.863224551358299E8
4.3938321742214805E8,6.416518819183457E8,6.47422707783949E8
3.8695215095694214E8,7.539272414616622E8,5.877063209712086E8
4.159809048388101E8,1.0554043818846422E9,2.572016509638209E8
3.713987837897788E8,4.899321416181452E8,8.672513494631754E8
3.776220109993201E8,3.2685191598073286E8,1.0241823538901377E9
2.4801116167313766E8,2.855606036852134E8,1.1950870937119517E9
3.0091170523110205E8,1.9662658201003128E8,1.2311197410757353E9
