0_cluster,1_cluster,2_cluster
1.692518488967971E8,7.714195246238112E8,1.0738796906714465E8
7.288105336324354E8,3.013237111390034E8,1.79251916169616E7
2.7574308665717465E8,7.474372385220999E8,2.48767443587249E7
1.9794161046244746E8,8.120517754798464E8,3.792536386576879E7
3.0865223601550704E8,6.049470004691324E8,1.3432083441975364E8
4.48111101035903E8,3.751735548406092E8,2.2463369101561034E8
3.98150622974529E8,5.410142591804606E8,1.088339485659501E8
2.6540872093134964E8,7.340898738628267E8,4.850104017011295E7
3.573571689091127E8,3.9102678319249207E8,2.996124327251862E8
5.1488174785034156E8,4.72947066732467E8,6.021451876161154E7
1.864333752110063E8,5.868577692373738E8,2.747538591238214E8
3.52044528783475E8,4.0375913318646556E8,2.922409773320619E8
4934114.289793816,9556999.57424462,599497.5050460976
8588859.807914658,6445138.159283102,56614.7497636358
1327974.1741538343,1.3460560489827767E7,302043.81397883414
5655281.2409566315,9206767.59218765,226530.09637859248
6112899.190621687,6950901.849592254,2024796.917376788
7957293.51155324,6108120.815651536,1023158.7693089934
4033782.923753661,9729632.452161644,1326320.8360928905
2340073.82768696,1.2749673911777947E7,0.19530767455977216
1034393.6246259232,1.3644543383308215E7,410763.93203158904
150408.77929481628,1.493997118562026E7,2.687554027699036E-4
9320269.781258808,2406327.8672743114,3363806.189543383
4761494.329247478,9115920.196270829,1212984.2195556373
1.5326943030290183E7,5.566956721177053E7,6202846.165549168
5.141423725883998E7,2.5466424982444163E7,318701.036097156
1.2218623975733217E7,6.391202795204939E7,1068536.235231111
2.2851753874346383E7,5.3368098165367715E7,969106.9994397782
2.8131978773366615E7,4.265355209705795E7,6403525.493070279
4.034605906029904E7,3.4322962128347516E7,2519908.005284556
1.6073044314408323E7,5.1976714702672906E7,9145120.457125654
6296610.19597396,7.08886042809762E7,9724.772469716765
9517081.41523722,5.7605572117919505E7,1.0072045347087944E7
891696.8881302108,7.630617220734459E7,302.9768420110603
3.071968066552719E7,3.176345190335026E7,1.4715162309920376E7
3.3208777794266682E7,4.043881597345981E7,3550674.6580336117
3.629102917872395E7,2.696933867928858E8,3.2526888812880944E7
2.400556936122371E8,9.733955383831704E7,1116087.4540458142
6.419530010962619E7,2.7287391415061575E8,1441352.7919055035
9.340391385334542E7,2.4024008903245014E8,4821710.526674925
1.2550516834598565E8,1.7865647318178242E8,3.430449864107621E7
1.760007396665938E8,1.535754805714197E8,8889362.304631812
6.1909104586959034E7,2.5112687771776298E8,2.5455691609387517E7
3.6109551067864105E7,2.9758390311876416E8,4798481.813691268
9.128405751913467E7,1.694634929023363E8,7.774333159093124E7
3.6348016472924955E7,3.007013469839746E8,1456748.0824432638
7.17617548563112E7,1.8895105830668485E8,7.779383694600256E7
1.345099168963173E8,1.721204571711734E8,3.187616000263939E7
8.111587834572291E7,6.435379581727968E8,8.72360524106578E7
5.807332086404712E8,2.2382356593589735E8,7333186.172220659
1.8528158850951153E8,6.171941615395874E8,9412370.69052083
1.9396276185201424E8,5.916546450683059E8,2.616316261577597E7
2.7557328324748814E8,4.5822224142117083E8,7.79860695702782E7
4.13220711647261E8,3.166245761566607E8,8.193496680405141E7
2.1144517595083946E8,5.3319357413064855E8,6.720406890063713E7
1.5391872211917788E8,6.309578922868775E8,2.6966832876903474E7
2.6685234755887157E8,3.2277709803129274E8,2.2221147561035573E8
3.027928418834399E8,4.7314548786701035E8,3.593910860487566E7
1.4737844868355498E8,4.565599005038854E8,2.0794038045095453E8
2.8309615621897495E8,3.61008788028279E8,1.6777350647891212E8
2.5801831395886153E8,1.288375712560208E9,1.8228680609148327E8
1.213593781403405E9,4.8400433581237054E8,3.1082702069118537E7
4.49623289039416E8,1.228873853794723E9,5.018039668141044E7
3.005699514096338E8,1.3603298749087172E9,6.755906553189276E7
5.099811626148731E8,1.0120377547177877E9,2.0644261640856707E8
7.356636512575196E8,6.033956795433917E8,3.893984763235322E8
6.971203401147394E8,8.608911665206821E8,1.705742067543997E8
4.5697066665134954E8,1.1836428663682368E9,8.797340466768625E7
5.92693513555063E8,6.268450328268456E8,5.090437284892051E8
9.197081288031316E8,6.972304413489692E8,1.1171771071807897E8
2.8310560396549505E8,9.878934956867028E8,4.5765975941812384E8
5.612327693311316E8,6.507449482802985E8,5.1668031070546794E8
