0_cluster,1_cluster,2_cluster,3_cluster,4_cluster
3.261551945766206E8,861134.6782069213,6.268924784479988E7,1.6541249164715755E8,4.929412738409625E8
9.028619022276142E7,2.0441494906129318E8,2847938.3436399405,7.269092540607307E8,2.360110469997797E7
3.180618892991878E8,4.305663695730743E8,5388716.031731113,1.9643283448285812E8,9.760726015115595E7
2.3628301452168876E8,6.037354449415455E8,1.6082483972282829E7,3.459062586164585E7,1.5722718051087806E8
1.0929956662124327E8,2.0841606297429493E8,9.334185319060807E7,2.2081900351118022E8,4.160435846070676E8
1.0223711909067519E8,2.829947607316532E8,1.841199988265368E8,4.3579757742487824E8,4.2768890818376645E7
2.0245232854972658E8,2.9674372846453947E8,5.893837272982107E7,3.251322260809815E8,1.6473217489586937E8
3.761521213407068E8,3.0692578548337364E8,1.4085869341255039E7,1.8189598792825693E8,1.6893987087069196E8
2.5910309242146158E8,4.6978150371491484E7,2.266424932012798E8,2.971954178722714E8,2.1807723096028027E8
2.9039549362310314E8,1.1270065977080856E8,2.6064444164502494E7,3.652361561804565E8,2.5364657960554644E8
4.870336787070526E8,7.347693144293046E7,1.8332163256130916E8,1.508744534586748E8,1.5333830740223545E8
3.058702834809555E8,8.312468901855518E7,2.1354694259698123E8,3.2623100044917524E8,1.1927172375632544E8
433102.166660046,5.610947680701295E-20,72190.0353079342,5568150.350586642,9017168.81652982
2998545.154863536,2026964.1439906682,1.3672283731756178E-6,6555162.039528761,3509941.378577868
9577145.407623406,2918838.844661023,1.3461947811713344E-9,301025.1346359694,2293569.091041026
3996333.7213528585,7581558.944001906,0.001528276889721925,257011.62975078268,3253674.6328898086
1011712.8281622558,3907797.7710536257,21.745536275055045,3216885.03082995,6952180.582009201
1016629.7445962705,2889620.185081348,6.964274115868998E-4,8412934.679797135,2769388.486342322
3301714.8575352114,5444947.398951102,999203.3415941806,2331587.1640889854,3012283.4498390416
7330800.264232216,2142774.627619502,0.0028023116298411233,0.2577765054113032,5616172.7823432805
