0_cluster,1_cluster,2_cluster,3_cluster,4_cluster
3.07960664598583E8,7.938214994096705E7,1.108514115968529E8,1.1881934248605919E8,4.3104577396529895E8
6.74389478888697E7,2.271661099959588E8,7.138464522147247E8,2.5182845593416415E7,1.4425080695432339E7
1.3001226905590525E8,4.514699060930706E8,1.5060059846162218E8,8380809.6987194,3.0759348622868943E8
3.2610104170282805E8,4.8286147184128594E8,7.653335807579465E7,5524927.27928441,1.568979509088518E8
7.807984755468823E7,1.8572461848609143E8,5.150986364335218E8,7.351628041301706E7,1.9550068801707476E8
4.6125508904814586E7,3.505841942074486E8,5.286334120126647E8,8.568144343808295E7,3.689378832911915E7
2.726064983426672E8,2.2012094031342077E8,3.2472639707138926E8,8.108569481543651E7,1.4945930017801827E8
5.2286931844030434E8,1.6937283994157416E8,1.424326516662527E8,4.488826201812571E7,1.6843656289802697E8
2.1332623546986857E8,1.0005040548285097E8,3.0080722043684E8,2.6323437293006358E8,1.7057815050715938E8
1.442445363211575E8,2.132817416646359E7,4.4419125199745905E8,1.511829332295378E8,2.87096437629797E8
6.61485451402031E7,3.0620472453597985E7,2.289538797695875E8,5.20197822362809E8,2.0212428384601068E8
4.8587903010348305E7,7723560.868753064,3.8644530843015087E8,3.9592791908044124E8,2.0935994791230136E8
7012641.251873573,1.684407435655268E-4,4337944.398088255,538829.4670902533,3201196.251864431
990651.5013375944,5046630.355299488,7576586.16321742,59629.79871193036,1417114.8983950263
398797.90206949855,1.2854151113408815E7,670905.9418970866,76538.56390788623,1090184.9566772357
3547252.1938614827,6611454.731041441,849196.7477642952,8.872928876283312E-8,4080675.256856629
2138780.827838996,4019455.2132522077,5481091.287036127,1081.6741828712577,3448188.95528125
961746.4928114623,5890112.611811582,6616367.095305001,1.2940029574595217E-4,1620346.896455933
2526365.0780094448,6588808.656212724,2390442.588103205,985462.8030619945,2598657.086621229
6556705.17461501,5254058.047256969,11.130753385636398,0.07007406827018076,3278973.5120738046
9622375.540835384,364145.3886492874,942735.4509009576,196700.07261225703,3963744.4869683073
1410237.37770307,156592.98461442423,81541.4430315044,30927.81730282665,1.3411080342532102E7
1.485828290094003E-4,6.901876481632196E-5,3254721.1200103443,9871697.376928765,1963985.3409199095
15375.416511853504,9.942605027896844E-5,3491358.838479414,2459792.219689872,9123872.270293817
