0_cluster,1_cluster,2_cluster,3_cluster,4_cluster
4.7637963430816114E8,9.783146284312354E7,2.1484964507056843E7,1.2742840377353232E8,3.2493487715588826E8
3.3229159864980843E7,6.798228222120042E8,2188738.578969066,6.113207207739158E7,2.716866436550547E8
1.764481186954455E8,1.386663420847785E8,2423585.219458418,1.1771056005036308E8,6.128084634879632E8
2.062970669109722E8,1.2817496546167251E8,1.0105984069285523E7,6.115454932852833E7,6.421861840375861E8
2.0784710643926224E8,1.975309151003403E8,5.349845563009825E7,1.485579136754613E8,4.404856800592245E8
1.3380582549959108E8,3.213156706607518E8,7.565447781101242E7,2.4069176022610337E8,2.764506126946596E8
2.1380892514531296E8,2.408054228345365E8,2.2524100630826894E7,1.980977098132793E8,3.72762672296978E8
4.070466936121824E8,1.7898998565312532E8,8361841.541613699,7.77706354756016E7,3.7583047868176097E8
1.8396979618482417E8,1.9799858341569972E8,9.96987009429578E7,3.1315377638037044E8,2.5317552790292948E8
3.889120545569021E8,3.2920824610034883E8,1.315264153660237E7,1.5728161467205173E8,1.5948877647851932E8
5.873588222885498E8,5.420830316518736E7,1.109945229936532E8,2.121651472739976E8,8.331820785081525E7
3.050915978632806E8,2.0782429989382848E8,1.365515289989004E8,2.6208311016312274E8,1.3649410238285193E8
9136483.452404566,4210169.244713776,0.07160828520016986,814923.1394842169,929035.4608742942
1741082.533587283,7524199.455765646,6.405597908781954E-7,947470.8583631096,4877859.869244883
4186015.8640884166,685524.835172042,2.394712437325588E-9,642236.2089387067,9576801.5697617
2498469.6362711336,3076194.4433088303,0.002087710121051005,1147112.1524332324,8366802.695422964
3260566.9699030994,3170594.294975794,2.7229364499315776,3620339.8631351027,5037094.106640842
1813004.2035037533,4660791.881037166,3.215698998484079E-6,3920653.9158742903,4694123.096095625
3159800.235253806,2483552.0048166933,374793.01548331894,1401505.192343566,7670085.76411126
1.1268762189872434E7,75276.71762249048,0.0034620659994206225,0.2795560029662705,3745708.7442607866
3504375.612217479,473829.69175603054,24500.560697583172,643469.1728057618,1.0443525902489306E7
1.4414317646621708E7,0.228249415691068,3.5551078095171E-5,0.006663840600043114,676062.0836133303
4459011.475475306,2931195.1890901914,69880.69007227561,7235614.82322266,394701.6602158825
9259246.354233524,2921723.754757681,22.815909392308033,2593658.446422075,315747.37375178083
4.539816544649997E7,1.1934481652900135E7,3192.571463599139,7115918.513021026,1.2747598223729609E7
3337960.112086692,4.7590599433886334E7,2.2252875999698003,3808338.221603756,2.2462463284519494E7
1.8624265911090937E7,7086914.166519655,0.1959863664704036,3465690.4540367285,4.8022317435386315E7
5754985.526990609,1.6663112920061886E7,321.8454427390319,4280008.457426045,5.049053028925737E7
1.3979748981555715E7,1.884705902708524E7,27844.352996592417,1.1679307589970699E7,3.2655096411892273E7
7047364.543643808,3.0251732515055813E7,5.603182085711162,1.1225015433779158E7,2.866481109828484E7
1.4233861932665234E7,9429473.637857627,3586787.611615006,8192573.62809859,4.1752182663975164E7
4.914450000715335E7,498253.43388309353,506.38697069732615,13122.298041869131,2.7538557123392478E7
1.727231848074285E7,3559872.618122113,2452885.1198303876,1.1953934628556866E7,4.1955688033003494E7
6.38616820933706E7,19738.271029077572,42.61571025327407,1522.1455771860592,1.3315186946625017E7
4.007974556127567E7,7818644.241343237,207761.7210671698,2.755298964813279E7,1539153.7069941515
3.306277996885951E7,2.3424066885082293E7,66279.23129113016,1.0979887895382425E7,9665254.445170779
1.6677122384117085E8,2.6575515705397055E7,1615679.5296788025,3.515580798949829E7,1.0839307771874578E8
8269297.053809515,2.305006416120111E8,15125.552692729929,8994181.151906952,9.073208953418067E7
5.627649991306702E7,3.8495116139754094E7,7484.297143756232,1.6119814973829506E7,2.2761165172835442E8
2.1788929770339355E7,7.603439360452065E7,344692.30918588466,1.5091942530938372E7,2.2520575519748837E8
5.588420033503976E7,8.451470929304838E7,3710959.7261674707,5.583187046601585E7,1.3852440034857368E8
4.947037526280099E7,1.427453998519312E8,56254.94256942117,3.469847967482323E7,1.1149507281051907E8
5.957384412346166E7,4.0134526115701795E7,1.0766021324140843E7,2.3764771764279313E7,2.0425251058652246E8
2.0748474871872324E8,1.4550145606518166E7,537570.1791603771,6865132.093968642,1.0905433940194495E8
6.402609118584813E7,4.836690539580556E7,2.1502177699206494E7,8.595913374965228E7,1.1863657398189072E8
2.398611655784194E8,1.9234653372636944E7,215003.22506308736,4969476.760400865,7.42258126028198E7
2.1090603100476068E8,2.0819070473600015E7,7670117.446155178,9.485059054872106E7,4260840.635761184
1.1597503696721274E8,8.304295535619831E7,5037490.513938487,7.338342339005697E7,6.106762784271355E7
3.8387743685027325E8,4.960699267879793E7,1.3952795986550108E7,8.939276829965793E7,2.7505989511389506E8
2.0742885925466005E7,5.56960804628873E8,479920.1001362359,2.775935287752587E7,2.059469972165906E8
1.4058847761286345E8,1.1225238959252602E8,812778.030240826,5.215762337843153E7,5.060768521255599E8
1.0031540872622198E8,1.4174760433471534E8,4277119.685782155,4.988180253652783E7,5.1555863425284946E8
1.5833585739504233E8,1.823289512464738E8,1.4307391014625283E7,1.188943960598017E8,3.3791499852298784E8
1.3569997772545144E8,2.993480323419727E8,4554819.178273367,1.5744460223667657E8,2.1473282312560531E8
1.5771018975611913E8,1.3195882052738544E8,2.0206258975398853E7,9.577279765986897E7,4.0619475206334925E8
4.003322625332151E8,9.326449095113742E7,4026574.6373293763,4.453577703721543E7,2.69684342124066E8
