0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,5_cluster
5.73894683273044E8,1.1543869717483476E8,1.755891279065534E7,7.177541809876826E7,1.4182469798351395E8,1.2756693326693563E8
2.994396631106154E8,4.143413606270054E8,1677437.695589818,2.8110170743543315E8,5.044849013569702E7,1050777.3840591973
1.7662737781300426E8,5.354456428598195E8,2133318.078829415,2.7528531419466645E8,4.1849402850618295E7,1.6716013741069075E7
9.675975313040479E7,9.3849765809729E7,1.5137437179985564E7,7.60725727874344E7,4.276907390654353E7,7.233301469939498E8
3.7194520912097347E8,8.729791000832118E7,5.164807192022243E7,5.181437225788687E7,4.080128895361974E7,4.444132186433673E8
3.658056952209531E8,3.009800509914625E8,5.398374108244904E7,1.3013171196301013E8,1.0453997717937562E8,9.247717045486234E7
1.461844260860425E8,1.2100294866498184E8,5.133573974311356E7,1.2941120157133007E8,1.0335260984744576E8,4.967119048080269E8
2.0462743845401365E8,9.134898105043331E7,1.7791071716211595E7,4.9862645389577866E7,2.967357172243924E7,6.546959266316086E8
2.1961797828597596E8,1.3506634642847756E8,1.4416251823861954E8,1.3015752622826092E8,1.6235901994164628E8,2.5663299570380107E8
1.7495897692830864E8,1.089028687022051E8,2.5183607809216708E7,1.2217360835973477E8,6.571710022420344E7,5.511071713207655E8
4.8283357922069415E7,3.845854088438624E7,1.4469735123146215E8,5.494140011673889E7,9.422340671590313E7,6.674409467016449E8
7.528766252397285E7,1.7250330841149232E8,1.5780393648515087E8,1.5004894303737324E8,1.0263089727460746E8,3.8976989156939274E8
9361843.936713234,1116498.4523982643,306702.3875673644,824522.4142369167,3427115.558688007,53928.619481169044
6782616.845795143,3643430.4345995057,6106.840029991277,3156852.492559025,1501603.2431657375,2.860813623302863
2959514.89479681,1.0217172305124493E7,13215.777693847698,1227793.3818419436,672670.8501573075,211.2683462800635
1058915.8861689914,1609985.720841339,270755.513245414,1172472.7469796033,993691.4756773703,9982757.586610623
7418363.542702015,1320492.1170464812,926645.3915529831,1104578.9632037089,1093569.0097236845,3224948.9333628006
8307528.4155862145,2913599.2210269244,261673.99299646472,1310185.8154688757,1853531.8354565753,442053.8159796606
2196852.8490587077,1222457.7579055803,1487552.5516926649,721601.450517109,510013.7063089081,8951257.896525824
2627425.435573508,762200.2900126593,0.030017429253050208,295064.05012762453,614.8077006758507,1.140444332134087E7
2863573.71659173,1311607.5952202063,210253.0206360518,453399.56602161174,263075.32493004756,9987791.716566332
351189.0899587552,25011.524191703542,0.0014477062047456863,9354.261371660106,4353.36930720735,1.470047171890673E7
1105436.96821879,2181772.834827529,1826458.6261809194,1767684.5289851697,1552067.2185508003,6656983.6613124665
2927977.9316661544,980429.5505715973,667353.8775045624,503932.6375138771,1152779.3281082138,8857925.419710219
5.037066539615073E7,8118890.329915065,1386648.48611503,2212345.8197804606,1.352528082735968E7,1585525.5482859188
2.615635883183757E7,2.4257013308146235E7,15116.638329230473,2.1191450675764993E7,5577913.834022601,1509.9892920338352
1.2246985608672556E7,4.632279078440279E7,117718.01259579007,1.5561499603483254E7,2948365.440766743,1828.7131040977558
5157673.127302343,8541769.089928102,763056.2467304716,4792812.46378717,3170566.51292719,5.476308159849836E7
4.150090936346829E7,4293380.3282261845,2410689.079125663,3404700.589724863,2763765.811070596,2.281561119190723E7
