0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,5_cluster
9.017013280856723E7,6.3131050426217206E7,3045902.194709531,3.2695587047008914E8,4.7438884388670933E8,9.036754280146815E7
7.372409348375688E7,4538657.569422933,653048.2417972126,2.721704015710324E8,3.2904960632267565E7,6.640682748901255E8
1.3778442319500312E8,6058230.237725489,784170.366321945,6.132938024930668E8,1.766577563729677E8,1.134786868729245E8
5.998631651661435E7,1.9290184520377427E7,492272.9343771195,6.424451669952842E8,2.0628318251141915E8,1.1942162632997179E8
1.263848987644354E8,7.642761073191912E7,1.1977607131439507E7,4.410256915679426E8,2.0698282277741042E8,1.851214399312387E8
2.1331582725704324E8,1.0775806022494291E8,2.0285964874796852E7,2.765732768908674E8,1.3364630347317138E8,2.9633891417129695E8
1.9335948682953843E8,4.6833444780709654E7,1805498.2155347448,3.73001580403548E8,2.1294026803129342E8,2.2005855246030992E8
7.435688084621885E7,2.15439431009769E7,271474.72044966754,3.765536092914659E8,4.0612928321163535E8,1.6914444379353672E8
2.607262820641616E8,1.5351349448915768E8,2.1252522898903992E7,2.5370972168125838E8,1.835759728143235E8,1.7521839087897626E8
1.8023942790290692E8,2.294646780493136E7,2150879.5574851497,1.6070670680210602E8,3.872038717925493E8,2.9479597948444694E8
1.623398628674705E8,1.2125711379826568E8,4.7674364848880045E7,8.376201209646158E7,5.870064349612722E8,4.600521499985464E7
2.2793581734024322E8,1.4086644655281043E8,5.9092824259320244E7,1.37404629054291E8,3.0328774890464437E8,1.794571731906753E8
726033.7416450391,215124.29846608188,6.470316789911198E-6,941032.4358094778,9105714.267756166,4102706.625401927
1618049.4603221216,6.110608979453667E-5,2.924865605395327E-12,4877859.871212799,1741117.5052078227,6853585.880158452
700737.7533224109,16412.91885663166,7.504139612945579E-10,9673155.795895461,4094271.8667568676,606000.1431294704
1357371.1741763523,0.004846212099924106,8.691117711954784E-11,8366802.695422965,2498469.6362869246,2865935.4187914156
3658672.515875235,282882.95173796796,1.7330638824824223E-10,5037095.497510174,3260242.8451833366,2849704.147284586
4486493.5683789905,0.0036966813819653936,7.0022448634373174E-12,4694124.496477496,1674212.3601365478,4233742.667824353
1125881.3316504569,827321.5097413816,0.0024369086298756185,7670085.764127649,3157724.761323241,2308722.84272909
0.28945023394514025,0.023643098642107986,2.2952233563849019E-7,3753576.1066899574,1.1260894816860853E7,75276.69812941157
668625.936431151,86514.92923416223,88.58060398502064,1.044352863112082E7,3504374.1511758612,386568.71140019974
0.008949068582405545,4.729845224879852E-5,6.425708409576016E-6,792768.8782062633,1.4297610852916747E7,0.2250580663329697
7682845.831582071,480524.508450084,3.9833478200693624,394701.66021588264,4512224.042893088,2020103.811587383
2580067.8656370193,166413.47593368508,4.353617920676788,315889.05055013276,9259104.677434586,2768919.3219012073
4456045.493539619,3204920.618029843,18.5555713278122,1.2836574504408391E7,4.528932852643746E7,1.1412468709628694E7
5856517.539662395,39.895354087004634,0.003305740384495812,2.246257772718741E7,3368783.4556692066,4.551144465620504E7
4286548.403338148,56769.84699407468,0.083698478656162,4.817884815937836E7,1.8523254592925522E7,6153767.0766846305
5033667.931542244,784.427061736466,0.017897654847943967,5.04905303208444E7,5754995.359278337,1.5908980982554484E7
1.1658918212597292E7,801655.8731042832,0.0395080386915223,3.266017618833861E7,1.3835365753114287E7,1.8232940296838492E7
