Number,Vial,Site,Field,Plot,Treatment,Sorter,Counter,Counter_2,Arachnida,Nabis,Geocoris,Anthocoridae,Coccinellidae,Ichneumonoidea,Acyrthosiphon,Aphis,Therioaphis,Lygus,Thysanoptera,Other,Notes
1,YF3P2 full,Yerington,3,2,Full,Anson,Sami,,0,0,0,2,0,20,534,48,60,0,60,39,
2,YF3P2 sham,Yerington,3,2,Sham,Anson,Sami,,1,0,0,12,1,169,620,45,138,1,111,92,
3,YF3P3 sham,Yerington,3,3,Sham,Sami,Sami,,0,0,0,11,0,110,1140,46,186,0,108,49,
4,YF3P3 cont,Yerington,3,3,Control,Sami,Sami,,1,0,0,1,0,7,463,14,48,0,7,23,
5,YF3P3 full,Yerington,3,3,Full,Sami,Sami,,0,0,0,4,1,21,856,107,120,2,43,47,
6,YF2P3 cont,Yerington,2,3,Control,Sami,Sami,,0,0,0,6,2,12,203,8,33,1,2,16,
7,YF2P3 full,Yerington,2,3,Full,Sami,Sami,,1,0,0,4,0,13,162,4,29,1,1,12,
8,L3P1 cont,Lovelock,3,1,Control,Sami,Sami,,3,0,0,2,4,4,378,80,489,1,45,43,
9,FALF3P1 sham,Fallon,3,1,Sham,Sami,Sami,,0,1,0,5,0,0,38,0,0,0,0,16,
10,L3P2 cont,Lovelock,3,2,Control,Sami,Sami,,1,0,0,5,1,4,209,1167,371,1,52,42,
11,YF2P1 cont,Yerington,2,1,Control,Sami,Sami,,0,0,0,0,0,7,89,16,43,3,6,19,
12,YF2P1 full,Yerington,2,1,Full,Anson,Sami,,0,1,0,5,1,14,220,6,62,0,29,11,
13,L3P2 sham,Lovelock,3,2,Sham,Sami,Sami,,4,0,2,4,0,17,74,34,79,0,76,15,
14,YF2P2 cont,Yerington,2,2,Control,Sami,Sami,,0,0,0,3,0,5,150,15,33,1,13,19,
15,YF2P2 full,Yerington,2,2,Full,Sami,Sami,,0,0,0,1,0,4,59,4,7,1,2,4,
16,Y1F1P2 sham,Yerington,1,2,Sham,Sami,Sami,,0,0,0,1,0,5,40,2,46,2,29,482,
17,YF1P3 cont,Yerington,1,3,Control,Sami,Sami,,0,4,0,4,0,5,133,8,52,3,28,272,
18,YF1P3 sham,Yerington,1,3,Sham,Sami,Sami,,3,1,0,6,0,33,166,3,108,0,36,211,
19,YF1P3 full,Yerington,1,3,Full,Sami,Sami,,1,1,1,2,0,4,88,2,76,1,112,234,
20,FALF4P1 full,Fallon,4,1,Full,Sami,Sami,,0,1,0,2,0,1,70,5,8,1,51,18,
21,YF1P1 sham,Yerington,1,1,Sham,Sami,Sami,,2,0,0,5,1,6,161,4,16,0,1,10,
22,YF1P7 sham,Yerington,1,,Sham,Sami,Sami,,1,0,0,3,1,19,179,26,121,2,20,232,
23,Y1F1P1 full,Yerington,1,1,Full,Sami,Sami,,0,1,0,2,0,5,46,18,66,1,87,84,
24,Y1F1P2 cont,Yerington,1,2,Control,Sami,Sami,,0,1,0,2,0,4,54,0,53,0,19,215,
25,Y1F1P2 full,Yerington,1,2,Full,Sami,Sami,,0,2,0,1,0,17,112,4,71,0,94,199,
26,FALF4P3 full,Fallon,4,3,Full,Sami,Sami,,5,0,1,0,2,4,58,3,0,0,5,9,
27,L2P1 cont,Lovelock,2,1,Control,Sami,Sami,,4,0,0,2,0,11,71,27,558,0,94,20,
28,L1P1 sham,Lovelock,1,1,Sham,Anson,Sami,,21,0,0,4,0,4,33,5,44,1,54,13,
29,L1P1 full,Lovelock,1,1,Full,Anson,Sami,,11,0,0,2,0,76,60,4,30,1,99,7,
30,FALF4P3 sham,Fallon,4,3,Sham,Sami,Sami,,0,1,0,5,0,3,85,1,6,1,6,102,
31,FALF3P1 cont,Fallon,3,1,Control,Sami,Sami,,0,0,0,8,0,2,26,0,4,0,19,28,
32,L1P2 sham,Lovelock,1,2,Sham,Anson,Sami,,10,0,0,5,0,48,79,4,117,8,59,18,
33,L1P2 full,Lovelock,1,2,Full,Anson,Sami,,6,0,0,8,0,5,59,8,54,4,51,16,
34,L1P2 cont,Lovelock,1,2,Control,Anson,Sami,,22,0,0,3,0,5,27,0,14,3,20,11,
35,L2P1 sham,Lovelock,2,1,Sham,Anson,Sami,,1,0,1,2,0,17,62,85,372,0,41,21,
36,L2P1 full,Lovelock,2,1,Full,Sami,Sami,,2,0,0,2,4,4,24,60,84,0,102,7,
37,FALF4P3 cont,Fallon,4,3,Control,Sami,Sami,,1,0,1,1,0,2,171,1,2,0,3,74,
38,FALF4P2,Fallon,4,2,Pre-,Anson,Sami,,0,0,0,1,0,1,111,0,5,1,7,20,
39,L7P3 full,Lovelock,,3,Full,Sami,Sami,,0,0,0,0,0,5,708,9,11,1,6,5,
40,FALF4P2 cont,Fallon,4,2,Control,Anson,Sami,,1,0,0,2,0,1,65,2,2,1,29,14,
41,FALF4P3 sham,Fallon,4,3,Sham,Sami,Sami,,0,0,2,1,3,4,18,0,0,0,0,8,
42,FALF3P3 cont,Fallon,3,3,Control,Sami,Sami,,1,0,0,4,0,1,36,0,1,1,1,7,
43,FALF4P3 full,Fallon,4,3,Full,Sami,Sami,,0,0,0,1,0,2,101,0,5,0,39,61,
