Number,Vial,Site,Field,Plot,Treatment,Sorter,Counter,Counter_2,Arachnida,Nabis,Geocoris,Anthocoridae,Coccinellidae,Ichneumonoidea,Acyrthosiphon,Aphis,Therioaphis,Lygus,Thysanoptera,Other,Notes
1,YF1P1,Yerington,1,1,Pre-,Anson,Anson,Sami,2,1,2,21,0,40,4,0,0,73,17,27,
2,YF1P2,Yerington,1,2,Pre-,Anson,Anson,Sami,1,0,6,5,7,156,1,1,0,45,4,79,
3,YF1P3,Yerington,1,3,Pre-,Anson,Anson,Sami,1,0,1,16,0,137,0,0,0,67,2,38,
4,YF2P1,Yerington,2,1,Pre-,Anson,Anson,Sami,2,1,7,10,3,46,23,0,0,1,24,30,
5,YF2P2,Yerington,2,2,Pre-,Anson,Anson,Sami,0,2,7,14,6,77,20,0,0,9,126,15,
6,YF2P3,Yerington,2,3,Pre-,Anson,Anson,Sami,3,2,7,19,2,97,42,1,0,11,170,23,
7,YF2.2(Location3),Yerington,3,3,Pre-,Anson,Anson,Sami,1,0,4,9,5,22,10,0,0,7,46,29,
8,YF2(Loc3)p2,Yerington,3,2,Pre-,Anson,Mackenzie,Sami,2,2,7,4,6,32,16,0,0,25,82,45,
9,YF2-2(Location3)P3,Yerington,3,3,Pre-,Anson,Mackenzie,Sami,1,1,18,6,5,52,15,0,0,27,141,19,
10,MF1P1,Minden,1,1,Pre-,Anson,Mackenzie,Sami,0,0,2,8,1,1,7,0,2,6,118,177,
11,MF1P2,Minden,1,2,Pre-,Anson,Anson,Sami,0,0,0,8,0,4,11,0,1,1,137,179,
12,MF1P3,Minden,1,3,Pre-,Mackenzie,Anson,Sami,0,1,1,14,0,15,17,0,3,7,378,165,
13,MindenF2P1,Minden,2,1,Pre-,Mackenzie,Anson,Sami,0,2,5,5,6,8,11,2,10,39,178,150,
14,MindenF2P2,Minden,2,2,Pre-,Mackenzie,Anson,Sami,0,1,8,13,4,10,18,1,4,37,476,102,
15,MindenF2P3,Minden,2,3,Pre-,Mackenzie,Anson,Sami,0,4,0,31,1,16,26,1,11,33,331,98,
16,MindenF3P1,Minden,3,1,Pre-,Mackenzie,Mackenzie,Sami,2,0,11,20,5,18,24,0,19,14,291,69,
17,FallonField4Plot2,Fallon,4,2,Pre-,Mackenzie,Mackenzie,Sami,0,0,6,1,0,18,186,0,0,0,38,66,
18,MindenF3P2,Minden,3,2,Pre-,Mackenzie,Mackenzie,Sami,0,0,1,8,2,13,60,0,1,1,166,5,
19,MindenF3P3,Minden,3,3,Pre-,Anson,Mackenzie,Sami,1,0,2,7,2,5,49,0,2,2,216,9,
20,LF2P3,Lovelock,2,3,Pre-,Mackenzie,Mackenzie,Sami,4,0,1,0,4,43,607,0,2,5,169,66,
21,LF1P2,Lovelock,1,2,Pre-,Mackenzie,Mackenzie,Sami,0,0,0,3,5,24,433,0,0,1,46,26,
22,LF1P1,Lovelock,1,1,Pre-,Mackenzie,Mackenzie,Sami,2,0,0,4,3,22,567,0,0,4,61,42,
23,LF1P3,Lovelock,1,3,Pre-,Mackenzie,Mackenzie,Sami,2,0,0,2,2,21,355,0,0,6,67,30,
24,LF2P1,Lovelock,2,1,Pre-,Mackenzie,Mackenzie,Sami,3,0,0,5,5,49,313,0,0,8,209,9,
25,LF2P2,Lovelock,2,2,Pre-,Mackenzie,Mackenzie,Sami,2,0,2,1,8,58,2950,0,0,8,150,5,
26,LovelockF3P1,Lovelock,3,1,Pre-,Anson,Mackenzie,Sami,5,0,0,1,5,158,479,0,0,7,5,3,
27,LF3P2,Lovelock,3,2,Pre-,Anson,Mackenzie,Sami,2,0,0,2,4,580,1090,0,0,0,4,8,
28,LF3P3,Lovelock,3,3,Pre-,Anson,Anson,Sami,6,0,0,1,2,480,826,47,0,0,3,6,
29,FallonF1P1,Fallon,1,1,Pre-,Anson,Anson,Sami,0,0,0,4,0,29,1160,2,3,1,30,37,
30,FallonF1P2,Fallon,1,2,Pre-,Anson,Anson,Sami,0,0,0,8,2,15,1165,0,1,0,55,14,
31,FallonF4P1,Fallon,4,1,Pre-,Mackenzie,Anson,Sami,0,0,1,5,2,32,131,0,4,0,0,32,
32,FallonF31P3,Fallon,3,3,Pre-,Mackenzie,Anson,Sami,2,0,0,4,1,14,345,2,0,2,84,37,
33,FallonF3P2,Fallon,3,2,Pre-,Mackenzie,Anson,Sami,0,0,0,2,2,23,267,3,2,0,73,39,
34,Fallon3-1,Fallon,3,1,Pre-,Mackenzie,Anson,Sami,0,0,0,1,6,17,199,1,0,0,0,9,
35,FallonF1P3,Fallon,1,3,Pre-,Mackenzie,Anson,Sami,3,0,1,7,5,28,1216,5,0,3,85,34,
36,FallonF1P1Full,Fallon,1,1,Full,Doug,Mackenzie,Sami,0,0,7,2,0,8,343,0,0,1,29,50,
37,FallonF4P3,Fallon,4,3,Pre-,Mackenzie,Mackenzie,Sami,1,0,1,5,1,25,176,1,0,0,1,67,
38,MindenF1P1Control,Minden,1,1,Control,Doug,Mackenzie,Sami,0,0,1,13,2,18,44,0,2,5,27,225,
39,FallonF1orF23P1Control,Fallon,1,1,Control,Mackenzie,Mackenzie,Sami,2,0,2,4,1,24,527,0,1,0,43,55,
40,FallonF1P1SHAM,Fallon,1,1,Sham,Doug,Mackenzie,Sami,1,0,3,9,5,25,691,0,2,0,69,78,
41,FallonF1P3Sham,Fallon,1,3,Sham,Anson,Anson,Sami,2,0,1,7,4,29,596,0,0,0,72,66,
42,FallonF1P3Control,Fallon,1,3,Control,Anson,Anson,Sami,2,0,5,3,4,24,511,0,0,1,67,10,
43,FallonF1P2Full,Fallon,1,2,Full,Anson,Anson,Sami,2,0,4,0,4,39,842,1,1,1,83,67,
44,FallonF1orF2?P2Sham,Fallon,1,2,Sham,Mackenzie,Anson,Sami,0,0,0,6,10,30,990,1,0,0,190,108,
45,FallonF1P2Control,Fallon,1,2,Control,Mackenzie,Anson,Sami,1,0,3,1,5,21,884,1,2,1,56,70,
46,FallonF3P2Control,Fallon,3,2,Control,Mackenzie,Anson,Sami,2,1,0,7,0,22,132,0,0,0,1,13,
