system:index,0_classification,1_classification,2_classification,3_classification,4_classification,5_classification,6_classification,7_classification
0_0,251220.58039215696,1926726.7176470584,135660.85490196076,342490.7647058824,21945.77254901961,7810.694117647059,339334.01176470576,124844.57254901959
0_1,150839.00392156863,872787.6156862745,32538.01568627452,229957.85098039213,229083.5568627453,4300.019607843137,1621396.2941176475,8980.423529411766
0_2,1424825.6117647057,1157169.2313725487,5518.0,141809.45098039214,14179.886274509798,4568.1450980392165,317425.41960784316,84440.55686274511
0_3,1173723.4980392158,1239567.2078431381,13709.552941176471,120821.59607843138,30041.956862745097,38189.58823529411,122480.38039215686,409101.9764705883
0_4,1321806.4745098033,581285.6666666666,136795.10196078426,304118.4352941178,71783.53333333334,121865.2980392157,415034.91372549045,194900.95294117645
0_5,602675.7921568627,547527.254901961,222172.34509803925,502868.89411764697,223749.1411764706,83854.57254901962,732879.2862745095,231878.67058823525
0_6,819541.7568627449,389327.588235294,76072.20000000001,402270.7490196079,143938.74901960784,121730.49019607842,780949.3490196075,413900.9372549019
0_7,1094762.023529412,702004.5764705882,29136.08235294118,160076.63137254902,37983.78039215687,100809.94117647059,469072.81568627455,553870.7647058824
0_8,316724.5921568627,725542.1294117647,210815.18823529413,570421.7647058826,154832.85490196076,65370.41960784314,654209.5882352936,449851.337254902
0_9,375336.50588235277,992108.117647059,19736.945098039214,294158.95294117654,109615.6666666667,246663.94901960783,906534.8431372546,204456.54901960783
0_10,939444.0941176473,763169.2588235295,99108.12941176473,255724.49019607846,27017.396078431375,183252.81960784318,690902.3803921578,189959.17647058825
0_11,543803.0588235292,618972.7960784314,129652.95294117645,417302.4196078432,30003.301960784316,73076.5568627451,1109980.9254901963,225809.26274509798
1_0,7.223520338005468E7,7.157250581481384E8,5.766045516208678E7,7.405241214526933E7,8558961.208470918,2318449.4533645,7.931975516995537E7,3.818904792041689E7
1_1,2.5535509789585378E7,2.8974499470459056E8,8405832.373358548,7.792631452418853E7,8.396303283036143E7,1231443.5816446976,5.597916344443526E8,1460674.1403127622
1_2,5.999572706049919E8,3.174907694669698E8,1962772.1761078883,4.649799100950155E7,563343.2862018391,1359842.269391241,4.93448954904736E7,3.0880185234373674E7
1_3,3.7617549062215114E8,4.239903657928357E8,4372102.161147671,4.216284850941363E7,1.7416463608335737E7,1.1556562532063184E7,5.825815564123406E7,1.1398676094086589E8
1_4,4.147445213583565E8,2.4223458969895285E8,2.1581949874643892E7,7.371964486266951E7,1.2069660898690216E7,4.639566462216381E7,1.5178292925728524E8,8.539111033163777E7
