system:index,0_classification,1_classification,2_classification,3_classification,4_classification,5_classification,6_classification,7_classification,.geo
0_0,2.7957553538693756E7,7.726800274599671E8,6.983020462346154E7,3.026681510727031E7,2.0967603781626996E7,2923808.012309405,7.434685711744384E7,4.971952311011688E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,2.8306144131772757E7,2.8448053568655807E8,8114860.512776209,3.390288851465336E7,3.760666870859939E7,3899336.146236212,6.476022046997211E8,4730005.935256573,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,4.8044846402742267E8,4.301971903358584E8,2700432.645279471,3.445958809180078E7,1758883.9888674992,1302296.9324306743,6.295420920703626E7,3.483177794400359E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,3.410286902312785E8,4.260482073027069E8,6669690.3046389725,3.3083167705828585E7,1.4873017803258391E7,8387846.136361631,5.8096623265979655E7,1.5928555228245264E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,3.651772844425809E8,3.10095187545434E8,2.91554139999503E7,4.565517633062544E7,1.5960853298978338E7,4.1374758792177886E7,1.4669527970578343E8,9.334783920540595E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,1.3073533785461734E8,2.997597893311458E8,8.961691866165651E7,4.6123664309614554E7,9.96250270341554E7,3.5374708125871316E7,2.4420042908568847E8,1.0202626743865328E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,3.069459209806448E8,1.8236014957915708E8,3.50385400376921E7,4.158253743605773E7,7.045235693296894E7,3.1213594224253442E7,2.072449599387555E8,1.72906911835069E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,2.96368867677116E8,3.4085376123235166E8,1.2583625028464697E7,1.6530876904241327E7,1.964656589877218E7,1.800276408425768E7,1.3050810090353885E8,2.1324736886739516E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,6.747176765524516E7,3.0331899304756784E8,9.258314939174283E7,8.294258235195975E7,9.444591892179601E7,2.396227301490862E7,2.210259526546616E8,1.6199911826070052E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,8.403151079893494E7,4.551726582979407E8,1.2848846728291918E7,1.9127876721733723E7,6.089976602568971E7,5.9169179922591895E7,2.7203893621909523E8,8.488188794070847E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,3.448304989591164E8,2.6164391034666494E8,5.97606028575912E7,3.678013731273327E7,2.361019289791102E7,3.1870825035219125E7,2.150310892590583E8,7.463751345877345E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,1.9174404247202453E8,2.0447044500096402E8,5.937162108377699E7,3.070008384395257E7,3.737113947650911E7,2.988335303376584E7,4.15433694332069E8,7.919720790241617E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,102.7906945359481,9153723.8330009,131037.06177591556,325549.68840097584,998553.7482563212,571862.6880282925,2287312.3163923603,1631582.5290267123,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,247270.67987070192,7766788.081942869,0.0071547814189465864,2358458.8287794124,199.18698109693142,401882.80751379067,4323366.913021012,1041.8872962611126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,1.0397071832674842E7,3680732.30601226,8.994399204262691E-9,158764.47170318602,59742.04400616008,4.5221161586848887E-11,383143.9260524995,419700.54482744855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4173518.089817169,5653021.385828779,0.0022961991990628596,873586.1278773414,41558.54072613473,288555.0184590475,1273046.3042463732,2778870.818417055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,1376380.711906685,6757318.86992812,94016.37613952764,1563636.520512044,0.04360182195552534,105032.61344907718,2430564.705600083,2755048.120153662,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,2494077.040946926,5555505.832769689,0.0029101451408693616,1639118.1394544034,282782.49807519215,141139.33461219282,2526747.568993757,2442632.4640840064,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,5166856.16086786,4670479.3503484875,337814.0735131887,751473.6768937957,93794.20303983543,79341.34175058623,1127311.8675183924,2859008.9151456174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,3057653.3403680157,6773110.606312849,0.004898906387878264,0.03146561451050786,0.00687837251149565,319563.9274542549,0.34233049977630897,4935707.585480824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,404973.48480289476,1.0614168836123064E7,7216.8034635429285,146158.1849821947,22854.075398578505,903112.4774180845,526226.862866333,2461437.532701792,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,307.5313794311688,1.4815147431007411E7,3.513999494263879E-5,0.007202860481087849,5.354191411657977E-4,0.02065441462253742,0.0608781114686823,276756.45064017427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,2030410.651614376,3097329.0368216243,10322.9043409138,3049591.5064918757,76811.84842844152,30921.317547454273,4600642.366147468,2196097.1955415346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,2171983.0792180304,6763493.712979669,128708.47918087472,380816.3214045466,1301360.3492245316,177378.12718011162,2672438.2519271784,1496046.681954987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,107019.31989920442,5.554575495102715E7,4034344.096643799,1640933.187286766,3399533.6167352847,1089121.712186657,6496712.007544538,4932558.563784299,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,1270962.725473673,2.739030435730105E7,516.3124732388864,5673707.319424386,275455.75984234584,585438.8993220729,4.183816131763759E7,207766.56493158193,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,4.587003219520366E7,2.579961586207355E7,0.3018347305422655,1734485.9382961714,189861.10073791485,0.016280816149615598,1266462.822562074,2382605.360490752,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,2.4698065630462155E7,3.1080002904728044E7,443.501885023898,3163633.042071007,1217929.6171043473,1722967.0097567774,5079760.7115719365,1.0193300240548845E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,1.586253578410919E7,3.2317290266793024E7,102611.11898709642,4898009.845901882,728.538922855212,3777502.629116763,6516367.765080809,1.3680246772615004E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,1.6646529946832139E7,2.376640567617793E7,403.83672533245647,3056655.2290267926,2526423.7046619523,2247253.250265632,1.9112046231593058E7,9799599.98083767,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,3.055972082500215E7,1.8890148937812753E7,3732294.103943695,5196343.764403065,552228.9051928612,1036170.3621691465,4346325.1307602925,1.286294100633667E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,2.257992593156988E7,4.001439803596118E7,628.8075480630704,2254.1708041332654,1106.2572100538284,1055613.741282275,14353.014986894977,1.3507668903263386E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,3879384.0954764206,3.900289917485158E7,1954498.390161758,4847857.534500353,605149.044509021,3850928.1503442936,8525022.182855666,1.451078579528902E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9,125303.19611585242,7.45092854805918E7,61.245304166248786,749.5757299718445,190.94550029594677,1706.2646358376655,8614.318700732067,2561631.1822149074,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10,2.3385150634117704E7,1.5547951251741253E7,1493972.4563489067,8031408.555878377,193083.18783156975,972443.4411993274,1.957749926893536E7,8005600.339419623,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11,2.0314171122846346E7,2.0254953394366674E7,498846.0830327933,1294450.0767243556,3159572.7150519267,980760.1691768332,2.4146986047064375E7,6557870.995575045,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,957847.5865161503,2.6798588799113253E8,2.6783680745022375E7,3949895.4502380732,7154184.833995597,1582752.4840508634,1.6624568862941718E7,1.3676915572481455E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1,5389001.780403775,9.738967264884701E7,442300.01715786173,1.3714753831100427E7,6524192.510549407,1126549.41093113,2.1245854232181847E8,1654653.8679751854,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2,1.9705661541238406E8,1.1858993535311776E8,8240.424419544335,7421878.202885288,213425.24033587863,1229.4214389612798,7303059.444929357,8108573.024725128,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3,9.745511416116633E7,1.4277948346714753E8,580407.2969784798,1.5287665542794688E7,8650247.09606141,4754308.474494159,2.5684691428664315E7,4.312972427242938E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4,8.319768369868992E7,1.3710264916895807E8,1189955.7134360075,1.2852331152005386E7,179249.2115172589,1.8146598687285975E7,4.5038194585024424E7,4.061142803532541E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5,6.1741319553483434E7,1.1576932801578295E8,798343.5914280608,8275896.451158824,2.2029861391252622E7,1.5153181056349963E7,7.210679103051117E7,4.244347937089234E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_6,1.5081890102583975E8,7.933965561012748E7,7086603.618709169,1.0418329373428058E7,6666271.520735397,5606940.074863318,1.9764139556512706E7,5.87088074888856E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_7,8.950729047777188E7,1.6899082974797896E8,622469.8871552565,1650036.1162889602,1556600.5835713977,1568663.2391475018,7841761.749063913,6.667101344847656E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8,1.9882225054795474E7,1.2776960396437562E8,1.8974977736172725E7,3.459604227405835E7,1.1960414312449465E7,1.0155557577294892E7,6.2634584229465336E7,5.243778368101045E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9,6232997.444075057,2.9094174338355523E8,348738.78820040834,1326591.4188691333,709520.0482898615,1437371.7158179644,1.2419698053750157E7,2.5130538035676677E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10,1.3143556645895901E8,6.86764104584441E7,2.022110380953647E7,1.761727066083544E7,1299211.9631305323,1.0911118088779442E7,6.77969662859987E7,2.0587652191329036E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11,9.113257879009247E7,6.85880765282844E7,5696512.874967689,9675145.828846559,1.1305353472528107E7,5993582.749994131,1.2107802676148124E8,2.5078221711059682E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,1.0270796470343493E7,6.356661372013816E8,6.44957294895169E7,1.2323919586196974E7,1.6979350782118894E7,2024569.0934648875,3.961849945953715E7,3.100119438433917E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1,1.7745955126624297E7,2.1483821403825557E8,4281378.552281322,2.20989099856781E7,2.861704827521855E7,2810253.3263363605,5.1868281140211356E8,3267089.695141243,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2,4.618899440450837E8,2.6603483911788127E8,791779.3553536783,2.364352026327247E7,817552.1226664358,186733.12259628173,3.3285514138678312E7,2.5699669758708425E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3,2.3243806272179672E8,3.391030611353107E8,4298209.821999229,3.108384599861279E7,1.5693750347437104E7,7446476.720340109,6.05300735494901E7,1.2084154874011809E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4,2.445829705838465E8,2.9210455005057335E8,5233479.581374552,2.857534296641278E7,3234647.0766232666,3.3605110422999926E7,1.1988120600072967E8,8.420920440600751E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5,1.1244003664018075E8,2.6352601361821127E8,2.5570742658641733E7,2.258368729390409E7,7.679869347956817E7,2.882922574720526E7,1.9330462908965486E8,8.83737471269637E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6,3.063354494864085E8,1.6858049884403878E8,1.5754786933786668E7,2.4427535821773298E7,3.577555704336197E7,1.2024022630604317E7,1.0470874179103029E8,1.4403949745276928E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7,2.0805651690633982E8,3.282461943033943E8,6040459.001138988,1.0552294023850264E7,1.406049463027286E7,3241587.1774692875,6.721266297432886E7,1.742335231464036E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8,4.752408245279328E7,2.6722238559434807E8,6.007652318632527E7,6.77855028339854E7,6.48468136674495E7,1.938028529155195E7,1.654686711806141E8,1.1934551974259804E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9,4.673454021221254E7,4.734676037219405E8,9032535.83926208,1.9240337499189224E7,2.4800466576745834E7,1.3975476207756069E7,1.475381153495146E8,7.718690890719011E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10,2.7870437716223514E8,2.159885328794293E8,5.3816125212155975E7,3.4982890499033205E7,1.0986596917318478E7,2.0772683626135442E7,1.5317670338780954E8,4.35435196513852E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11,1.7202922021113765E8,1.6033036703105268E8,3.723784607294361E7,2.2378245046073142E7,3.023388202254595E7,2.031044704681643E7,3.1312226335326636E8,5.633443136872022E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,5.028496470297559E7,1.282986264822946E9,1.1576720660541093E8,4.673288972641404E7,3.5925187372283235E7,4032581.7701492,1.1407207584584183E8,7.992448254484703E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1,4.77668421649058E7,4.528736319318529E8,1.4669555125974234E7,5.4419252335981585E7,6.4493082250060394E7,6478619.091271663,1.0817694655921588E9,7172982.349388521,"{""type"":""MultiPoint"",""coordinates"":[]}"
