orig_code,new_code,code,loc,ssn,id,notes,key,value
Atriplex M1,IVAX,atriplex m1,,,Iva axillaris,,,
Atriplex sp.,UNK_CHENOPODIUM,atriplex sp.,,,Chenopodium sp.,juvenile - can't id to species,,
CHEN1,UNK_CHENOPODIUM,chen1,,,Chenopodiaceae,juvenile - can't id to genus,,
DYBO,CHAL7,DYBO (please confirm),,fall,Chenopodium album,,,
FFFORB2,POAV,ffforb2,fallon,fall,Polygonum aviculare,,,
FFGRASS1,UNK_POACEAE1,ffgrass1,fallon,fall,NO ID,unable to id - poor specimen,loc,"where the species was collected, if noted"
FFGRASS2,ERCO8,ffgrass2,fallon,fall,Eriochloa contracta,,,
FFGRASS3,CHVI4,ffgrass3,fallon,fall,Chloris virgata,,,
FFGRASS4,ERPE,ffgrass4,fallon,fall,Eragrostis pectinacea,possibly forgot to have jerry look at this one - looks like Eragrostis pectinacea though,ssn,"spring or fall. if not noted, it's probably spring"
FFGRASS5,CHVI4,ffgrass5,fallon,fall,Chloris virgata,,id,species name. id'ed by arnold tiehm at the herbarium
FFGRASS6,SEPU8,ffgrass6,fallon,fall,Setaria pumila,,notes,any extra notes
FFORB2,CHAL7,fforb2,fallon,fall,Chenopodium album,,general,these are the id's of the plants from the plant press. These plants were collected for the 2020 exclosures project in the spring and fall of 2021
FFORB3,IVAX,fforb3,fallon,fall,Iva axillaris,,,
FLFORB1,BAHY,flforb1,lovelock,fall,Bassia hyssopifolia,,,
FLFORB3,BAHY,flforb3,lovelock,fall,Bassia hyssopifolia,,,
FLGRASS1,ECCR,flgrass1,lovelock,fall,Echinochloa crusgalli,,,
FLGRASS3,DISP,flgrass3,lovelock,fall,Distichlis spicata,,,
FLGRASS4,UNK_SETARIA,flgrass4,lovelock,fall,Setaria sp.,unable to id to species,,
FMGRASS3,ERPE,fmgrass3,minden,fall,Eragrostis pectinacea,,,
FMGRASS4,JUEN,fmgrass4,minden,fall,Juncus ensifolius,,,
FMGRASS5,ALAR,fmgrass5,minden,fall,Alopecurus arundinacea,probably 'arundinaceus',,
FMGRASS6,ERPE,fmgrass6,minden,fall,Eragrostis pectinacea,,,
FMGRASS7,LOPE,fmgrass7,minden,fall,Lolium perenne,,code,shorthand code used as placeholder id in the field. capitalization not respected here
FMGRASS8,ERPE,fmgrass8,minden,fall,Eragrostis pectinacea,,orig_code,matches a 'species' in the vegdata.csv
FMGRASS9(A),ERCI,fmgrass9(A),minden,fall,Eragrostis cilianincis,,new_code,used to update 'species' in the vegdata.csv after joining
FMGRASS9(B),ECCR,fmgrass9(B),minden,fall,Echinochloa crusgalli,,,
FMMINT,MEAR4,fmmint,minden,fall,Mentha arvensis,,,
FMUNK1,AMAC2,fmunk1,minden,fall,Ambrosia acanthicarpa,,,
FMUNK2,VEAN2,fmunk2,minden,fall,Veronica annagalis-aquatica,,,
FMUNK3,ARLU,fmunk3,minden,fall,Artemisia ludoviciana,,,
FMUNK4,EUOC4,fmunk4,minden,fall,Euthamia occidentalis,,,
FYGRASS1,UNK_WHEAT,fygrass1,yerington,fall,Wheat?,unable to id - may ask farmer what was planted,,
FYGRASS2,ECCR,fygrass2,yerington,fall,Echinochloa crusgalli,,,
FYGRASS3,ERPE,fygrass3,yerington,fall,Eragrostis pectinacea,,,
GRASS1,DISP,grass1,,,Distichlis spicata,,,
GRASS2,HOMU,grass2,,,Hordeum murinum,,,
GRASS3,DAGL,grass3,,,Dactylis glomerata,,,
GRASS5,BRCA6,grass5,,,Bromus catharticus,,,
GRASS6,HOJU,grass6,,,Hordeum jubatum,,,
GRASS7,JUBA,grass7,,,Juncus balticus,,,
GRS7,JUBA,,,,,,,
GRASSM1,SECE,grassm1,,,Secale cereale,,,
GRASSM2,SCAR7,grassm2,,,Schedonorus arundinacea,,,
LFORB1,ACRE3,lforb1,,,Acroptilon repens,check spelling - handwriting of species name is difficult to read,,
LFORB2,BASC5,lforb2,,,Kochia scoparia,now Bassia scoparia,,
LFORB3,XAST,lforb3,,,Xanthium strumarium,,,
LFORB4,UNK_BORAGINACEAE,lforb4,,,Boraginaceae,juvenile - can't id to genus,,
LFORB5,POOL,lforb5,,,Portulaca oleracea,check spelling - handwriting of species name is difficult to read,,
LFORB6,ASSP,lforb6,,,Asclepias speciosa,we are not confident that this is correct,,
LGRASS1(A),THPO7,lgrass1(A),,,Agropyron elongatum,now Thinopyrum ponticum,,
LGRASS1(B),DISP,lgrass1(B),,,Distichlis spicata,,,
LGRASS3,UNK_POACEAE2,lgrass3,,,Poaceae,juvenile - can't id to genus,,
FMGRASS1,ECCR,mfgrass1,minden,fall,Echinochloa crusgalli,may also be referred to as fmgrass1,,
FMGRASS2,PACA6,mfgrass2,minden,fall,Panicum capillare,may also be referred to as fmgrass2,,
ONAG1,CACL4,ONAG1,,,Chylismia calviformis,now Camissonia claviformis,,
Salix M1,SAEX,salixm1,minden,,Salix exigua,,,
UNK1,SAVE4,unk1,,,Sarcobatus vermiculatus,,,
UNK10,ACRE3,unk10,,,Acroptilon repens,,,
UNK11,CAPU6,unk11,,,Cardaria pubescens,,,
UNK13,MIGR,unk13,,,Microsteris gracilis,,,
UNK2,UNK_ERIOGONUM,unk2,,,Eriogonum sp.,juvenile - can't id to species,,
UNK3,BASC5,unk3 (from Y-13),,,Kochia scoparia,now bassia scoparia,,
UNK4,UNK_CHENOPODIUM,unk4,,,Chenopodium sp.,juvenile - can't id to species,,
UNK5,UNK_FORB1,unk5,,,NO ID,juvenile - id uncertain,,
UNK6,UNK_FORB2,unk6,,,NO ID,juvenile - id uncertain,,
UNK8,SAVE4,unk8,,,Sarcobatus vermiculatus,,,
UNK9,UNK_SALSOLA,unk9,,,Salsola sp.,juvenile - can't id to species,,
UNKM2,UNK_CHENOPODIUM,unkM2,,,Chenopodium sp.,juvenile - can't id to species,,
UNKM4,EPBR3,unkM4,,,Epilobium brachycarpum,,,
,,unknown - maybe 'unk5plot8 take 2' or 'unk12',,,Bassia sp.,juvenile - id uncertain,,
,,unknown - maybe 'unk5plot8 take 2' or 'unk12',,,Claytonia exigua,I remember this being the more rare plant (between the 2 plants with the same code here),,
GRASSM3,POPR,unknown - maybe grassm3,,,Poa pratensis,not sure of the correct code here,,
UNKM5,BAHY,unknown m5,,,Bassia hyssopifolia,,,
,MOPU3,,,,Micromonolepis pusilla,code unknown. may have been mixed up with unk2. I remember it was found in the same area as unk2. Also known as Monolepis pusilla.,,
Cattails,UNK_TYPHA,,,,NO ID ,,,
CATTAILS,UNK_TYPHA,,,,NO ID ,,,
Crop-unknown grass,UNK_POACEAE3,,,,NO ID ,,,
Cryptantha,UNK_CRYPTANTHA,,,,NO ID ,,,
dead annual,UNK_DEAD,,,,NO ID ,,,
Equisetum,UNK_EQUISETUM,,,,NO ID ,,,
Equisetum sp. 1,UNK_EQUISETUM,,,,NO ID ,,,
FFFORB1,UNK_FORB3,,,,NO ID ,,,
FFGRASS7,UNK_POACEAE4,,,,NO ID ,,,
FLFORB2,UNK_FORB4,,,,NO ID ,,,
FLGRASS2,DISP,,,,NO ID ,"Not 100% confident but I think this is LGRASS(2) in the plant press, with the plant press label being incorrect",,
FMGRASS10,UNK_POACEAE5,,,,NO ID ,,,
FMGRASS9,UNK_POACEAE6,,,,NO ID ,,,
FYGRASS4,UNK_POACEAE7,,,,NO ID ,,,
GRASS4,UNK_POACEAE8,,,,NO ID ,probably should have been recorded as GRASSM4,,
GRASSM4,UNK_POACEAE8,,,,NO ID ,,,
LL5,UNK_PLANT1,,,,NO ID ,,,
RhizoGRS,DISP,,,,NO ID ,Not 100% confident here but I'm pretty sure i remember the rhizomatous grass and I think it was DISP after seeing it in the plant press,,
UNK12,UNK_PLANT2,,,,NO ID ,,,
UNKGRASS,UNK_POACEAE9,,,,NO ID ,,,
onion,ALCE,,,,,,,
corn,ZEMA,,,,,,,
Cryptantha sp.,UNK_CRYPTANTHA,,,,,,,
Poaceae,UNK_POACEAE10,,,,,,,
LFORB7,UNK_FORB5,,,,,,,
LGRASS1,THPO7,,,,,,,
LGRASS2,DISP,,,,,"Not 100% confident here, but this is my best guess",,
LGRASS4,UNK_POACEAE11,,,,,,,
