name,plotnum,site,type,K3LSfall,K3LSspring,K3LSsummer,K3NAIP,K3sentFall,K3sentSpring,K3sentSummer,K5LSfall,K5LSspring,K5LSsummer,K5NAIP,K5sentFall,K5sentSpring,K5sentSummer,XLSfall,XLSspring,XLSsummer,XNAIP,XsentFall,XsentSpring,XsentSummer,key1,key2
10Margin,10,Minden,Margin,1,1,1,0,1,1,1,0,0,4,3,1,4,4,4,6,6,0,6,6,3,name,"the name of the waypoint, as stored in the GPS"
17Margin,17,Minden,Margin,1,1,0,0,1,1,1,0,0,0,3,1,0,4,4,6,3,0,6,6,3,plotnum,"integer plot number, derived from 'name'"
18Margin,18,Minden,Margin,1,1,0,0,1,1,1,0,0,4,3,1,0,4,4,6,6,5,6,6,3,site,farm where the point is located
21Margin,21,Minden,Margin,0,1,0,0,1,1,1,4,0,0,3,1,1,4,3,6,3,0,3,5,3,type,Margin' or 'Random'
24Margin,24,Minden,Margin,0,1,1,0,1,1,1,4,0,4,3,1,1,4,3,6,6,0,3,5,3,,
25Margin,25,Minden,Margin,0,1,0,0,1,1,1,4,1,0,3,1,1,4,3,5,3,0,3,5,3,,
28Margin,28,Minden,Margin,0,1,0,0,1,1,1,4,1,0,3,1,1,4,3,5,3,0,6,5,3,,
29Margin,29,Minden,Margin,0,1,0,0,0,1,1,4,1,1,3,1,1,4,3,5,4,0,6,5,3,,
30Margin,30,Minden,Margin,0,1,1,0,0,1,1,4,0,4,3,1,0,0,3,4,6,0,6,6,4,,
35Margin,35,Minden,Margin,0,1,0,2,1,1,1,4,1,1,1,3,1,4,3,5,4,1,3,5,3,,
37Margin,37,Minden,Margin,0,1,0,2,1,1,1,4,0,1,1,3,1,4,3,6,4,1,3,5,3,,
38Margin,38,Minden,Margin,0,1,0,2,1,1,1,4,0,1,1,3,1,4,3,6,4,1,3,5,3,,
41Margin,41,Minden,Margin,0,1,0,2,1,1,1,4,0,1,1,1,1,4,3,6,4,1,3,5,3,,
43Margin,43,Minden,Margin,0,1,0,2,1,1,1,4,0,1,1,1,1,4,3,6,4,1,3,5,3,,
44Margin,44,Minden,Margin,0,1,0,2,1,1,1,4,0,1,1,3,1,4,3,6,4,1,3,5,3,,
4Margin,4,Minden,Margin,1,1,1,0,0,1,1,0,0,4,3,1,0,0,4,6,6,0,6,6,4,,
5Margin,5,Minden,Margin,1,1,1,0,1,1,1,0,0,4,3,1,0,0,4,6,6,0,6,6,4,,
6Margin,6,Minden,Margin,2,0,1,0,1,1,1,2,4,3,3,3,0,0,1,4,5,0,3,6,4,,
F23Margin,23,Fallon,Margin,2,0,1,0,1,0,1,2,2,3,3,3,0,0,2,3,5,5,3,6,4,,
F25Margin,25,Fallon,Margin,0,1,0,0,1,0,0,4,0,4,3,3,4,1,3,6,6,5,3,0,5,,
F26Margin,26,Fallon,Margin,0,1,0,0,1,0,1,4,0,0,3,3,4,0,3,6,3,0,3,0,4,,
F28Margin,28,Fallon,Margin,0,1,0,2,1,0,1,4,0,0,1,3,4,0,3,6,3,1,3,6,4,,
F30Margin,30,Fallon,Margin,0,0,1,2,1,0,1,2,2,4,1,3,4,0,2,3,6,0,3,0,4,,
F31Margin,31,Fallon,Margin,0,0,1,0,1,0,1,2,2,3,3,3,4,0,2,3,5,5,3,6,4,,
F3Margin,3,Fallon,Margin,0,0,0,0,0,1,1,0,4,4,3,1,0,4,3,4,3,5,6,6,3,,
F47Margin,47,Fallon,Margin,0,1,0,2,1,0,0,4,0,1,1,3,4,0,3,6,4,0,3,0,4,,
F48Margin,48,Fallon,Margin,0,0,1,2,1,0,1,4,4,4,1,3,4,0,3,4,6,1,3,6,4,,
F50Margin,50,Fallon,Margin,0,0,1,2,1,0,1,4,4,4,2,3,4,0,2,4,6,1,3,6,4,,
F53Margin,53,Fallon,Margin,0,0,1,2,1,0,0,4,2,3,2,4,4,1,2,3,5,3,0,0,5,,
F54Margin,54,Fallon,Margin,0,0,1,1,2,2,0,2,4,4,2,4,2,1,2,3,5,3,0,1,5,,
F56Margin,56,Fallon,Margin,0,0,1,0,1,0,0,2,2,3,0,4,4,1,2,3,5,5,0,6,5,,
F5Margin,5,Fallon,Margin,0,1,0,2,1,0,1,4,4,0,1,3,4,0,3,4,3,0,3,6,4,,
F6Margin,6,Fallon,Margin,0,0,0,2,1,0,1,4,4,0,2,1,4,0,3,4,3,3,3,6,4,,
F7Margin,7,Fallon,Margin,0,0,1,2,1,0,0,4,2,3,2,3,4,0,2,3,5,3,3,0,4,,
F8Margin,8,Fallon,Margin,0,0,1,2,1,0,0,4,4,4,2,3,2,0,3,4,6,3,3,0,4,,
L11MARGIN,11,Lovelock,Margin,0,0,1,2,1,0,0,4,4,4,1,3,2,1,3,4,5,0,0,0,0,,
L16MARGIN,16,Lovelock,Margin,0,1,0,2,1,0,1,4,1,0,1,4,4,0,3,5,3,0,3,6,4,,
L17MARGIN,17,Lovelock,Margin,0,1,0,2,1,0,0,4,1,0,1,3,4,0,3,5,3,1,3,0,4,,
L18MARGIN,18,Lovelock,Margin,0,1,0,2,1,0,1,0,1,0,2,1,4,0,3,5,3,1,3,6,4,,
L25MARGIN,25,Lovelock,Margin,0,2,1,2,2,2,0,2,2,3,2,4,2,3,2,2,2,1,0,1,0,,
L26MARGIN,26,Lovelock,Margin,0,0,1,2,2,2,0,2,2,3,2,4,2,3,2,3,5,1,0,1,0,,
L28MARGIN,28,Lovelock,Margin,2,2,2,2,2,2,0,2,2,3,1,4,2,3,1,2,2,1,0,1,0,,
L41MARGIN,41,Lovelock,Margin,0,0,1,0,2,1,0,4,2,4,3,4,0,0,2,3,6,5,0,5,4,,
L42MARGIN,42,Lovelock,Margin,0,0,1,0,2,1,0,4,2,4,3,4,0,3,2,3,6,5,0,6,0,,
L45MARGIN,45,Lovelock,Margin,0,0,1,0,1,1,1,4,4,4,3,3,1,0,2,4,6,5,3,5,4,,
L46MARGIN,46,Lovelock,Margin,0,1,0,2,1,0,0,0,1,0,2,1,4,0,4,5,3,3,6,6,4,,
L48MARGIN,48,Lovelock,Margin,1,1,0,0,0,1,1,1,1,1,3,1,0,0,6,5,4,5,6,6,4,,
L49MARGIN,49,Lovelock,Margin,1,1,0,0,1,0,0,1,1,1,3,1,4,0,6,5,4,5,6,0,4,,
L4MARGIN,4,Lovelock,Margin,2,2,2,2,2,0,0,3,3,2,1,4,2,3,1,1,1,1,0,0,0,,
L5MARGIN,5,Lovelock,Margin,2,2,2,1,2,0,0,3,3,2,4,4,4,3,1,1,2,4,0,0,0,,
L6MARGIN,6,Lovelock,Margin,2,2,2,1,2,2,2,3,3,2,2,2,2,3,0,1,1,4,1,1,1,,
L8MARGIN,8,Lovelock,Margin,2,0,1,1,2,0,2,2,2,3,4,4,2,3,1,3,2,2,0,0,0,,
L9MARGIN,9,Lovelock,Margin,0,0,1,2,1,0,0,4,2,3,1,3,2,3,2,3,5,1,4,0,0,,
11Random,11,Minden,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,1,1,2,2,4,2,,
12Random,12,Minden,Random,2,2,2,1,2,2,2,2,3,2,4,2,3,3,1,2,2,4,1,3,1,,
13Random,13,Minden,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,2,2,4,1,3,1,,
14Random,14,Minden,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,1,1,1,4,1,3,1,,
15Random,15,Minden,Random,1,0,0,0,0,0,1,0,4,0,1,0,4,4,4,4,3,0,5,0,3,,
16Random,16,Minden,Random,0,0,1,2,2,2,0,2,2,3,2,4,2,1,2,3,5,3,0,1,5,,
19Random,19,Minden,Random,0,0,1,1,1,2,0,2,2,3,4,4,2,1,2,3,5,4,0,1,5,,
1Random,1,Minden,Random,0,0,1,2,1,0,0,2,4,3,1,4,4,1,2,4,5,0,4,0,5,,
20Random,20,Minden,Random,0,1,1,0,1,1,1,4,0,4,3,3,0,0,2,6,6,0,3,6,4,,
22Random,22,Minden,Random,0,1,0,2,1,1,1,0,1,0,1,1,0,4,3,5,3,0,6,5,3,,
23Random,23,Minden,Random,0,1,0,0,1,1,1,4,1,1,3,3,1,4,3,5,4,0,3,5,3,,
26Random,26,Minden,Random,0,1,0,0,0,1,1,4,1,0,3,1,1,4,3,5,3,0,6,5,3,,
27Random,27,Minden,Random,0,1,0,0,1,1,1,4,1,1,3,3,1,0,3,5,4,0,3,5,4,,
2Random,2,Minden,Random,2,0,1,0,2,0,0,2,4,3,1,4,4,1,2,3,5,0,0,0,5,,
31Random,31,Minden,Random,2,0,1,2,2,2,0,2,2,3,1,4,2,1,2,3,5,1,0,1,5,,
32Random,32,Minden,Random,0,0,1,2,1,2,0,2,2,3,1,4,2,1,2,3,5,1,0,1,5,,
33Random,33,Minden,Random,2,0,1,2,2,2,0,2,2,3,1,4,2,3,2,3,5,1,0,2,0,,
34Random,34,Minden,Random,2,0,1,2,2,0,0,2,4,3,2,4,4,3,1,4,2,1,0,0,0,,
36Random,36,Minden,Random,0,1,0,2,1,1,1,4,1,1,1,3,1,4,3,5,4,1,3,5,3,,
