name,plotnum,site,type
10Margin,10,Minden,Margin
17Margin,17,Minden,Margin
18Margin,18,Minden,Margin
21Margin,21,Minden,Margin
24Margin,24,Minden,Margin
25Margin,25,Minden,Margin
28Margin,28,Minden,Margin
29Margin,29,Minden,Margin
30Margin,30,Minden,Margin
35Margin,35,Minden,Margin
37Margin,37,Minden,Margin
38Margin,38,Minden,Margin
41Margin,41,Minden,Margin
43Margin,43,Minden,Margin
44Margin,44,Minden,Margin
4Margin,4,Minden,Margin
5Margin,5,Minden,Margin
6Margin,6,Minden,Margin
F23Margin,23,Fallon,Margin
F25Margin,25,Fallon,Margin
F26Margin,26,Fallon,Margin
F28Margin,28,Fallon,Margin
F30Margin,30,Fallon,Margin
F31Margin,31,Fallon,Margin
F3Margin,3,Fallon,Margin
F47Margin,47,Fallon,Margin
F48Margin,48,Fallon,Margin
F50Margin,50,Fallon,Margin
F53Margin,53,Fallon,Margin
F54Margin,54,Fallon,Margin
F56Margin,56,Fallon,Margin
F5Margin,5,Fallon,Margin
F6Margin,6,Fallon,Margin
F7Margin,7,Fallon,Margin
F8Margin,8,Fallon,Margin
L11MARGIN,11,Lovelock,Margin
L16MARGIN,16,Lovelock,Margin
L17MARGIN,17,Lovelock,Margin
L18MARGIN,18,Lovelock,Margin
L25MARGIN,25,Lovelock,Margin
L26MARGIN,26,Lovelock,Margin
L28MARGIN,28,Lovelock,Margin
L41MARGIN,41,Lovelock,Margin
L42MARGIN,42,Lovelock,Margin
L45MARGIN,45,Lovelock,Margin
L46MARGIN,46,Lovelock,Margin
L48MARGIN,48,Lovelock,Margin
L49MARGIN,49,Lovelock,Margin
L4MARGIN,4,Lovelock,Margin
L5MARGIN,5,Lovelock,Margin
L6MARGIN,6,Lovelock,Margin
L8MARGIN,8,Lovelock,Margin
L9MARGIN,9,Lovelock,Margin
11Random,11,Minden,Random
12Random,12,Minden,Random
13Random,13,Minden,Random
14Random,14,Minden,Random
15Random,15,Minden,Random
16Random,16,Minden,Random
19Random,19,Minden,Random
1Random,1,Minden,Random
20Random,20,Minden,Random
22Random,22,Minden,Random
23Random,23,Minden,Random
26Random,26,Minden,Random
27Random,27,Minden,Random
2Random,2,Minden,Random
31Random,31,Minden,Random
32Random,32,Minden,Random
33Random,33,Minden,Random
34Random,34,Minden,Random
36Random,36,Minden,Random
39Random,39,Minden,Random
3Random,3,Minden,Random
40Random,40,Minden,Random
42Random,42,Minden,Random
45Random,45,Minden,Random
46Random,46,Minden,Random
47Random,47,Minden,Random
48Random,48,Minden,Random
49Random,49,Minden,Random
50Random,50,Minden,Random
51Random,51,Minden,Random
52Random,52,Minden,Random
53Random,53,Minden,Random
54Random,54,Minden,Random
7Random,7,Minden,Random
8Random,8,Minden,Random
9Random,9,Minden,Random
F10Random,10,Fallon,Random
F12Random,12,Fallon,Random
F13Random,13,Fallon,Random
F14Random,14,Fallon,Random
F15Random,15,Fallon,Random
F16Random,16,Fallon,Random
F17Random,17,Fallon,Random
