Vial,Site,Field,Plot,Treatment,Season,Taxa,Density
YF1P1,Yerington,1,1,Pre-,Spring,Arachnida,2
YF1P1,Yerington,1,1,Pre-,Spring,Nabis,1
YF1P1,Yerington,1,1,Pre-,Spring,Geocoris,2
YF1P1,Yerington,1,1,Pre-,Spring,Anthocoridae,21
YF1P1,Yerington,1,1,Pre-,Spring,Coccinellidae,0
YF1P1,Yerington,1,1,Pre-,Spring,Ichneumonidae,40
YF1P1,Yerington,1,1,Pre-,Spring,Acyrthosiphon,4
YF1P1,Yerington,1,1,Pre-,Spring,Aphis,0
YF1P1,Yerington,1,1,Pre-,Spring,Therioaphis,0
YF1P1,Yerington,1,1,Pre-,Spring,Lygus,73
YF1P1,Yerington,1,1,Pre-,Spring,Thysanoptera,17
YF1P1,Yerington,1,1,Pre-,Spring,Other,27
YF1P1,Yerington,1,1,Pre-,Spring,AllAph,4
YF1P1,Yerington,1,1,Pre-,Spring,NonAcy,0
YF1P2,Yerington,1,2,Pre-,Spring,Arachnida,1
YF1P2,Yerington,1,2,Pre-,Spring,Nabis,0
YF1P2,Yerington,1,2,Pre-,Spring,Geocoris,6
YF1P2,Yerington,1,2,Pre-,Spring,Anthocoridae,5
YF1P2,Yerington,1,2,Pre-,Spring,Coccinellidae,7
YF1P2,Yerington,1,2,Pre-,Spring,Ichneumonidae,156
YF1P2,Yerington,1,2,Pre-,Spring,Acyrthosiphon,1
YF1P2,Yerington,1,2,Pre-,Spring,Aphis,1
YF1P2,Yerington,1,2,Pre-,Spring,Therioaphis,0
YF1P2,Yerington,1,2,Pre-,Spring,Lygus,45
YF1P2,Yerington,1,2,Pre-,Spring,Thysanoptera,4
YF1P2,Yerington,1,2,Pre-,Spring,Other,79
YF1P2,Yerington,1,2,Pre-,Spring,AllAph,2
YF1P2,Yerington,1,2,Pre-,Spring,NonAcy,1
YF1P3,Yerington,1,3,Pre-,Spring,Arachnida,1
YF1P3,Yerington,1,3,Pre-,Spring,Nabis,0
YF1P3,Yerington,1,3,Pre-,Spring,Geocoris,1
YF1P3,Yerington,1,3,Pre-,Spring,Anthocoridae,16
YF1P3,Yerington,1,3,Pre-,Spring,Coccinellidae,0
YF1P3,Yerington,1,3,Pre-,Spring,Ichneumonidae,137
YF1P3,Yerington,1,3,Pre-,Spring,Acyrthosiphon,0
YF1P3,Yerington,1,3,Pre-,Spring,Aphis,0
YF1P3,Yerington,1,3,Pre-,Spring,Therioaphis,0
YF1P3,Yerington,1,3,Pre-,Spring,Lygus,67
YF1P3,Yerington,1,3,Pre-,Spring,Thysanoptera,2
YF1P3,Yerington,1,3,Pre-,Spring,Other,38
YF1P3,Yerington,1,3,Pre-,Spring,AllAph,0
YF1P3,Yerington,1,3,Pre-,Spring,NonAcy,0
YF2P1,Yerington,2,1,Pre-,Spring,Arachnida,2
YF2P1,Yerington,2,1,Pre-,Spring,Nabis,1
YF2P1,Yerington,2,1,Pre-,Spring,Geocoris,7
YF2P1,Yerington,2,1,Pre-,Spring,Anthocoridae,10
YF2P1,Yerington,2,1,Pre-,Spring,Coccinellidae,3
YF2P1,Yerington,2,1,Pre-,Spring,Ichneumonidae,46
YF2P1,Yerington,2,1,Pre-,Spring,Acyrthosiphon,23
YF2P1,Yerington,2,1,Pre-,Spring,Aphis,0
YF2P1,Yerington,2,1,Pre-,Spring,Therioaphis,0
YF2P1,Yerington,2,1,Pre-,Spring,Lygus,1
YF2P1,Yerington,2,1,Pre-,Spring,Thysanoptera,24
YF2P1,Yerington,2,1,Pre-,Spring,Other,30
YF2P1,Yerington,2,1,Pre-,Spring,AllAph,23
YF2P1,Yerington,2,1,Pre-,Spring,NonAcy,0
YF2P2,Yerington,2,2,Pre-,Spring,Arachnida,0
