id,site,plotnum,type,season,lat,long,shan,simp,SAVE4,UNK_CRYPTANTHA,ALDE,HAGL,SUMO,SATR12,DEPI,BRTE,MEAL6,CACL4,PSPO,UNK_CHENOPODIUM,ZEMA,BASC5,UNK_POACEAE10,MESA,TEOF,ALCE,UNK_ERIOGONUM,UNK_DEAD,CABU2,LASE,ATCO,ERCI6,UNK_EQUISETUM,UNK_FORB1,MAPA5,UNK_FORB2,COAR4,DISP,HOMU,DAGL,PLLA,UNK_SALSOLA,LEPI,UNK_POACEAE8,ACRE3,BRCA6,UNK_TYPHA,HOJU,CAPU6,ERCE6,JUBA,ASFA,UNK_PLANT2,MIGR,SECE,IVAX,SCAR7,POPR,ARDO3,EQAR4,EPBR3,SIAL2,ATCA2,ACHY,ATCA,ARTR2,SAEX,AMTE3,BAHY,UNK_POACEAE3,UNK_PLANT1,TRAE,THPO7,UNK_POACEAE2,XAST,ATTR,POOL,UNK_POACEAE11,ERNA10,LELA2,ASSP,UNK_FORB5,DAST,AMRE,HEAN3,ECCR,CHAT,MEOF,CHAL7,TACA8,CUAP2,UNK_FORB3,POAV,UNK_POACEAE1,ERCO8,CHVI4,ERPE,RUST4,UNK_FORB4,UNK_POACEAE9,CIIN,SEPU8,ELEL5,CUPE3,UNK_POACEAE4,SACU,PACA6,UNK_SETARIA,TECA2,ERBR7,ATTO,UNK_WHEAT,AVSA,UNK_POACEAE7,AMAC2,TRTE,POLA4,TAOF,VEAN2,ARLU,BIFR,EQLA,MEAR4,JUEN,ALAR,EUOC4,LOPE,UNK_POACEAE6,UNK_POACEAE5,rich,field_id,K3LSfall,K3LSspring,K3LSsummer,K3NAIP,K3sentFall,K3sentSpring,K3sentSummer,K5LSfall,K5LSspring,K5LSsummer,K5NAIP,K5sentFall,K5sentSpring,K5sentSummer,XLSfall,XLSspring,XLSsummer,XNAIP,XsentFall,XsentSpring,XsentSummer
Yerington1Spring,Yerington,1,Random,Spring,39.0900116,-119.2359568,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 3,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,0,0,2,2,4,2
Yerington5Spring,Yerington,5,Random,Spring,39.09160191,-119.2301195,0.22445109055580997,0.09183673469387765,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yerington 2,2,2,2,1,2,2,2,2,3,2,4,4,3,3,1,2,2,2,1,3,1
Yerington8Spring,Yerington,8,Random,Spring,39.09394405,-119.2294694,0.36764947740014225,0.1694214876033059,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yerington 2,2,2,2,1,2,2,2,2,3,3,4,4,3,3,1,2,2,4,0,2,0
Yerington9Spring,Yerington,9,Random,Spring,39.09490803,-119.2364345,0.45056120886630463,0.2777777777777777,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Yerington 3,2,2,2,1,2,2,2,3,3,2,2,2,3,2,1,1,1,4,1,3,1
Yerington7Spring,Yerington,7,Random,Spring,39.09372408,-119.2371505,1.3862943611198906,0.75,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Yerington 3,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,1,1,2,1,3,1
Yerington14Spring,Yerington,14,Random,Spring,39.09763639,-119.2389728,1.0986122886681096,0.6666666666666667,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yerington 3,2,0,1,1,2,2,0,2,2,3,2,4,3,3,2,3,5,3,0,2,0
Yerington16Spring,Yerington,16,Random,Spring,39.0984313,-119.2435295,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 3,2,2,2,1,2,2,2,3,3,2,4,2,3,2,1,1,1,4,1,3,1
Yerington13Spring,Yerington,13,Random,Spring,39.09737532,-119.2477852,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 3,0,0,1,2,1,0,0,4,4,4,1,3,2,0,3,4,6,1,3,0,4
Yerington25Spring,Yerington,25,Random,Spring,39.10323097,-119.2446229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 3,0,0,1,2,2,2,0,4,4,4,2,4,2,1,3,3,6,3,0,1,5
Yerington28Spring,Yerington,28,Random,Spring,39.10658487,-119.2451806,1.442080248948443,0.675,0,1,0,1,0,1,1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Yerington 1,2,0,1,1,2,2,0,2,2,3,2,4,2,1,2,3,5,3,0,2,0
