id,distanceWeight,site,field,0_classification,1_classification,2_classification,3_classification,4_classification,5_classification,6_classification,7_classification,.geo
0_0,const,Minden,01,27957553.538693756,772680027.4599671,69830204.62346154,30266815.10727031,20967603.781626996,2923808.012309405,74346857.11744384,49719523.11011688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,const,Minden,02,28306144.131772757,284480535.68655807,8114860.512776209,33902888.51465336,37606668.70859939,3899336.146236212,647602204.6997211,4730005.935256573,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,const,Minden,03,480448464.02742267,430197190.3358584,2700432.645279471,34459588.09180078,1758883.9888674992,1302296.9324306743,62954209.20703626,34831777.94400359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,const,Lovelock,03,341028690.2312785,426048207.3027069,6669690.3046389725,33083167.705828585,14873017.803258391,8387846.136361631,58096623.265979655,159285552.28245264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,const,Lovelock,01,365177284.4425809,310095187.545434,29155413.9999503,45655176.33062544,15960853.298978338,41374758.792177886,146695279.70578343,93347839.20540597,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,const,Lovelock,02,130735337.85461734,299759789.3311458,89616918.66165651,46123664.309614554,99625027.0341554,35374708.125871316,244200429.08568847,102026267.43865328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,const,Fallon,01,306945920.9806448,182360149.57915708,35038540.0376921,41582537.43605773,70452356.93296894,31213594.22425344,207244959.9387555,172906911.835069,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,const,Fallon,02,296368867.677116,340853761.23235166,12583625.028464695,16530876.904241327,19646565.89877218,18002764.08425768,130508100.90353884,213247368.86739516,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,const,Fallon,03,67471767.65524516,303318993.04756784,92583149.39174284,82942582.35195975,94445918.921796,23962273.01490862,221025952.6546616,161999118.26070052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,const,Yerington,01,84031510.79893494,455172658.2979407,12848846.728291918,19127876.721733723,60899766.02568971,59169179.922591895,272038936.21909523,84881887.94070847,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,const,Yerington,02,344830498.9591164,261643910.34666497,59760602.8575912,36780137.31273327,23610192.89791102,31870825.035219125,215031089.2590583,74637513.45877345,"{""type"":""MultiPoint"",""coordinates"":[]}"
